Disease,EmergencyLevel,RecommendedAction
Diabetes Mellitus,Moderate,Consult a doctor for blood glucose evaluation and regular monitoring
Hypertension,High,Consult a doctor and monitor blood pressure regularly
Asthma,High,Use prescribed inhaler and seek medical attention if breathing becomes severe
COPD,High,Consult a respiratory specialist and seek urgent care for severe breathing difficulty
Pneumonia,High,Seek medical evaluation promptly especially for high fever or breathing difficulty
Tuberculosis,High,Seek medical evaluation and follow prescribed tuberculosis treatment
COVID-19,Moderate,Monitor symptoms and seek medical care if breathing difficulty or chest pain develops
Influenza,Moderate,Rest and seek medical attention if symptoms become severe or persistent
Dengue,High,Seek medical evaluation and monitor for bleeding, severe abdominal pain, or persistent vomiting
Malaria,High,Seek prompt medical treatment especially for high fever, confusion, or severe weakness
Typhoid,High,Seek medical evaluation and appropriate antibiotic treatment
Cholera,Critical,Seek immediate medical attention and urgent rehydration treatment
Hepatitis A,Moderate,Consult a doctor for evaluation and supportive treatment
Hepatitis B,High,Consult a doctor for liver evaluation and appropriate management
Fatty Liver Disease,Moderate,Consult a doctor and follow recommended lifestyle and dietary changes
Gastritis,Moderate,Consult a doctor if pain is severe, persistent, or associated with bleeding
GERD,Moderate,Consult a doctor if symptoms are persistent or associated with chest pain or difficulty swallowing
Peptic Ulcer Disease,High,Seek medical attention especially for vomiting blood or black stools
Irritable Bowel Syndrome (IBS),Moderate,Consult a doctor if symptoms are persistent or significantly affect daily activities
Crohn's Disease,High,Seek medical evaluation for persistent abdominal pain, diarrhea, bleeding, or weight loss
Ulcerative Colitis,High,Seek medical evaluation for severe abdominal pain, heavy bleeding, or persistent diarrhea
Kidney Stones,High,Seek medical attention for severe pain, fever, vomiting, or difficulty urinating
Chronic Kidney Disease,High,Consult a kidney specialist and follow regular kidney function monitoring
Urinary Tract Infection,Moderate,Consult a doctor especially if fever, kidney pain, or vomiting develops
Migraine,Moderate,Seek medical attention for sudden severe headache, confusion, weakness, or vision problems
Epilepsy,Critical,Seek emergency medical attention for prolonged or repeated seizures or loss of consciousness
Parkinson's Disease,Moderate,Consult a neurologist for evaluation and ongoing management
Alzheimer's Disease,High,Consult a specialist for evaluation and ongoing care planning
Multiple Sclerosis,High,Consult a neurologist for new or worsening neurological symptoms
Stroke,Critical,Seek emergency medical attention immediately for facial drooping, weakness, speech difficulty, or sudden neurological changes
Osteoarthritis,Moderate,Consult a doctor if pain, swelling, or difficulty walking becomes severe
Rheumatoid Arthritis,High,Consult a rheumatologist for persistent joint pain, swelling, or stiffness
