Symptom,Description
"polyuria","Passing urine more frequently or producing unusually large amounts of urine"
"polydipsia","Excessive thirst and an increased need to drink fluids"
"polyphagia","Excessive hunger or increased appetite"
"frequent_urination","Needing to urinate more often than usual"
"excessive_thirst","Feeling unusually thirsty and needing to drink frequently"
"excessive_hunger","Feeling unusually hungry even after eating"
"fatigue","Feeling unusually tired or lacking energy"
"weight_loss","Unintentional loss of body weight"
"blurred_vision","Vision that appears unclear or out of focus"
"dry_skin","Skin that feels dry, rough, or lacks moisture"
"tingling_hands","Tingling or pins-and-needles sensation in the hands"
"tingling_feet","Tingling or pins-and-needles sensation in the feet"
"recurrent_infections","Repeated infections occurring more frequently than expected"
"slow_healing_wounds","Cuts or wounds that take longer than usual to heal"
"high_blood_pressure","Blood pressure that remains higher than the normal range"
"headache","Pain or pressure felt in the head"
"dizziness","Feeling lightheaded, unsteady, or as though the surroundings are moving"
"nose_bleeding","Bleeding from the nose"
"chest_pain","Pain, pressure, tightness, or discomfort in the chest"
"palpitations","Feeling that the heart is racing, pounding, fluttering, or skipping beats"
"shortness_of_breath","Feeling unable to get enough air or having difficulty breathing"
"wheezing","A high-pitched whistling sound during breathing"
"dry_cough","A cough that produces little or no mucus"
"chest_tightness","A sensation of pressure, squeezing, or tightness in the chest"
"difficulty_breathing","Difficulty or increased effort when breathing"
"rapid_breathing","Breathing faster than usual"
"persistent_cough","A cough that continues for a prolonged period"
"productive_cough","A cough that produces mucus or phlegm"
"exercise_intolerance","Difficulty performing physical activity because of symptoms such as fatigue or breathlessness"
"cyanosis","Bluish or grayish discoloration of the skin, lips, or fingernails due to reduced oxygen"
"swollen_legs","Swelling of the legs caused by fluid accumulation or other conditions"
"fever","Body temperature higher than the normal range"
"chills","Feeling unusually cold with shivering, often associated with infection or fever"
"loss_of_appetite","Reduced desire to eat"
"coughing_blood","Coughing up blood or blood-stained mucus"
"confusion","Difficulty thinking clearly, understanding surroundings, or responding normally"
"night_sweats","Excessive sweating during sleep that may soak clothing or bedding"
"loss_of_smell","Reduced or complete inability to detect odors"
"loss_of_taste","Reduced or complete inability to taste normally"
"sore_throat","Pain, irritation, or scratchiness in the throat"
"muscle_pain","Pain or aching in one or more muscles"
"joint_pain","Pain or discomfort affecting one or more joints"
"skin_rash","Abnormal areas of redness, spots, bumps, or irritation on the skin"
"nausea","Feeling that you may vomit"
"high_fever","A significantly elevated body temperature"
"excessive_sweating","Sweating more than expected, particularly without obvious physical exertion"
"constipation","Infrequent or difficult bowel movements or hard stools"
"diarrhea","Frequent loose or watery bowel movements"
"weakness","Reduced physical strength or a general feeling of weakness"
"bloody_diarrhea","Diarrhea containing visible blood"
"dehydration","A condition caused by losing more fluid than the body takes in"
"muscle_cramps","Sudden involuntary tightening or painful contractions of muscles"
"low_blood_pressure","Blood pressure that is lower than the normal range"
"rapid_heartbeat","Heart rate that is faster than normal"
"reduced_urine_output","Producing significantly less urine than usual"
"jaundice","Yellowing of the skin or whites of the eyes"
"dark_urine","Urine that appears darker than usual, sometimes brown or tea-colored"
"pale_stool","Stool that is unusually light or pale in color"
"itching","An uncomfortable sensation that creates an urge to scratch"
"liver_enlargement","An enlarged liver that may cause abdominal discomfort or fullness"
"upper_abdominal_pain","Pain or discomfort in the upper part of the abdomen"
"abdominal_pain","Pain or discomfort anywhere in the abdomen"
"abdominal_swelling","Visible or uncomfortable enlargement or swelling of the abdomen"
"abdominal_tenderness","Pain or discomfort when pressure is applied to the abdomen"
"abdominal_fluid_accumulation","Abnormal buildup of fluid inside the abdominal cavity"
"bloating","A feeling of fullness, pressure, or swelling in the abdomen"
"indigestion","Discomfort or burning in the upper abdomen associated with digestion"
"heartburn","Burning discomfort behind the breastbone, often related to acid reflux"
"acid_reflux","Movement of stomach acid or contents back into the esophagus"
"vomiting","Forceful emptying of stomach contents through the mouth"
"vomiting_blood","Vomiting blood or material that looks like coffee grounds"
"persistent_vomiting","Repeated vomiting that continues or does not settle"
"black_stool","Very dark or black stool that may indicate gastrointestinal bleeding"
"abdominal_tenderness","Pain or sensitivity when the abdomen is touched or pressed"
"gas","Excessive intestinal gas that may cause discomfort or bloating"
"stomach_cramps","Cramping or spasmodic pain in the stomach or abdomen"
"difficulty_digesting_food","Difficulty processing food associated with digestive discomfort"
"mouth_ulcers","Small painful sores or ulcers inside the mouth"
"skin_rash","Changes in skin color, texture, or appearance such as spots or patches"
"flank_pain","Pain felt on the side of the body between the ribs and hip"
"blood_in_urine","Presence of visible or microscopic blood in urine"
