Disease,Description
"Diabetes Mellitus","A chronic condition characterized by high blood sugar levels due to insulin resistance or insufficient insulin production"
"Hypertension","A condition where the force of blood against artery walls is consistently too high"
"Asthma","A chronic respiratory condition characterized by inflammation and narrowing of the airways"
"COPD","A progressive lung disease that makes it difficult to breathe, often caused by long-term cigarette smoking"
"Pneumonia","An infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus"
"Tuberculosis","Mycobacterium tuberculosis infection; Close contact with an infected person; Weakened immune system; Poor living conditions; Malnutrition"
"COVID-19","Infection with SARS-CoV-2; Close contact with an infected person; Poor ventilation; Exposure to respiratory droplets or aerosols"
"Influenza","Influenza virus infection; Close contact with infected individuals; Respiratory droplets and aerosols; Crowded environments; Reduced immunity"
"Dengue","Dengue virus infection transmitted by infected Aedes mosquitoes; Mosquito exposure; Areas with mosquito breeding sites"
"Malaria","Plasmodium parasite infection transmitted by infected Anopheles mosquitoes; Mosquito exposure; Travel or residence in malaria-endemic areas"
"Typhoid","Salmonella Typhi infection; Contaminated food or water; Poor sanitation; Close contact with an infected person"
"Cholera","Vibrio cholerae infection; Contaminated water; Contaminated food; Poor sanitation; Poor hygiene"
"Hepatitis A","Hepatitis A virus infection; Contaminated food or water; Close contact with infected individuals; Poor sanitation"
"Hepatitis B","Hepatitis B virus infection; Contact with infected blood or body fluids; Unprotected sexual contact; Shared needles; Mother-to-child transmission"
"Fatty Liver Disease","Excess body weight; Insulin resistance; Type 2 diabetes; High cholesterol or triglycerides; Metabolic syndrome; Excessive alcohol use in alcoholic forms"
"Gastritis","Helicobacter pylori infection; Long-term NSAID use; Excessive alcohol; Severe physical stress; Autoimmune conditions; Other stomach irritants"
"GERD","Weak lower esophageal sphincter; Hiatal hernia; Obesity; Pregnancy; Large meals; Certain foods; Smoking; Delayed stomach emptying"
"Peptic Ulcer Disease","Helicobacter pylori infection; Long-term NSAID use; Smoking; Excessive alcohol; Other factors that damage the stomach lining"
"Irritable Bowel Syndrome (IBS)","Altered gut-brain interaction; Abnormal intestinal motility; Visceral hypersensitivity; Previous gastrointestinal infection; Stress; Food triggers"
"Crohn's Disease","Abnormal immune response; Genetic predisposition; Family history; Gut microbiome factors; Environmental factors; Smoking"
"Ulcerative Colitis","Abnormal immune response; Genetic predisposition; Family history; Gut microbiome factors; Environmental factors"
"Kidney Stones","High urinary mineral concentration; Dehydration; High dietary sodium; High animal-protein intake; Family history; Certain metabolic disorders; Some medicines"
"Chronic Kidney Disease","Diabetes; Hypertension; Glomerular diseases; Polycystic kidney disease; Recurrent kidney injury; Long-term obstruction; Certain medications or toxins"
"Urinary Tract Infection","Bacterial infection; Most commonly Escherichia coli; Urinary obstruction; Incomplete bladder emptying; Sexual activity; Catheter use"
"Migraine","Genetic predisposition; Hormonal changes; Stress; Sleep disturbance; Certain foods; Dehydration; Bright lights; Strong smells; Environmental triggers"
"Epilepsy","Genetic factors; Brain injury; Stroke; Brain tumors; Infections; Developmental abnormalities; Prenatal brain injury; Sometimes unknown cause"
"Parkinson's Disease","Abnormal loss of dopamine-producing brain cells; Genetic factors; Age-related changes; Environmental factors; Most cases have no single identifiable cause"
"Alzheimer's Disease","Abnormal accumulation of amyloid and tau proteins; Age; Genetic factors; Family history; Cardiovascular risk factors; Brain injury"
"Multiple Sclerosis","Abnormal immune response against myelin; Genetic susceptibility; Environmental factors; Low vitamin D and some infections may contribute"
"Stroke","Blood clot blocking brain blood flow; Ruptured blood vessel; Hypertension; Atrial fibrillation; Diabetes; High cholesterol; Smoking; Atherosclerosis"
"Osteoarthritis","Age-related joint wear; Previous joint injury; Obesity; Repetitive joint stress; Genetic factors; Abnormal joint development"
"Rheumatoid Arthritis","Autoimmune reaction; Genetic susceptibility; Environmental triggers; Smoking; Hormonal and immune factors"
"Osteoporosis","Aging; Reduced estrogen or testosterone; Calcium or vitamin D deficiency; Family history; Low physical activity; Smoking; Excessive alcohol; Certain medicines"
"Gout","High uric acid levels; Reduced kidney excretion of uric acid; High-purine diet; Obesity; Alcohol use; Genetic factors; Certain medicines"
"Fibromyalgia","Abnormal pain processing; Genetic susceptibility; Physical or emotional stress; Sleep disturbance; Infection or injury may trigger symptoms"
"Psoriasis","Immune system dysfunction; Genetic predisposition; Family history; Stress; Skin injury; Infections; Certain medicines"
"Eczema (Atopic Dermatitis)","Genetic skin-barrier dysfunction; Immune system abnormalities; Family history of allergies; Environmental irritants; Allergens; Dry skin"
"Acne Vulgaris","Excess sebum production; Blocked hair follicles; Cutibacterium acnes bacteria; Hormonal changes; Genetic factors; Certain medicines"
"Cellulitis","Bacterial infection entering through broken skin; Skin wounds; Eczema; Fungal infections; Lymphedema; Diabetes"
