Disease,Complications
"Diabetes Mellitus","Heart disease; Stroke; Kidney disease; Nerve damage; Eye disease; Foot problems; Slow wound healing"
"Hypertension","Heart disease; Stroke; Kidney damage; Vision problems; Heart failure; Aneurysm"
"Asthma","Severe asthma attacks; Respiratory failure; Low oxygen levels; Sleep disturbances; Reduced physical activity"
"COPD","Respiratory infections; Respiratory failure; Pulmonary hypertension; Heart problems; Lung cancer; Weight loss"
"Pneumonia","Respiratory failure; Sepsis; Lung abscess; Pleural effusion; Bacteremia; Acute respiratory distress"
"Tuberculosis","Lung damage; Respiratory failure; Spread to other organs; Meningitis; Bone and joint damage; Death"
"COVID-19","Pneumonia; Respiratory failure; Blood clots; Heart complications; Neurological complications; Long COVID"
"Influenza","Pneumonia; Sinus infections; Ear infections; Worsening of chronic diseases; Myocarditis; Encephalitis"
"Dengue","Severe bleeding; Shock; Plasma leakage; Organ damage; Severe abdominal pain; Death"
"Malaria","Severe anemia; Cerebral malaria; Kidney failure; Respiratory distress; Seizures; Organ failure"
"Typhoid","Intestinal bleeding; Intestinal perforation; Encephalopathy; Sepsis; Kidney problems; Death"
"Cholera","Severe dehydration; Electrolyte imbalance; Kidney failure; Shock; Severe weakness; Death"
"Hepatitis A","Dehydration; Cholestatic hepatitis; Relapsing hepatitis; Rare acute liver failure"
"Hepatitis B","Cirrhosis; Liver failure; Liver cancer; Portal hypertension; Kidney disease"
"Fatty Liver Disease","Steatohepatitis; Liver fibrosis; Cirrhosis; Liver failure; Liver cancer; Cardiovascular disease"
"Gastritis","Peptic ulcers; Gastrointestinal bleeding; Anemia; Gastric cancer risk in certain H. pylori-related cases"
"GERD","Esophagitis; Esophageal stricture; Barrett's esophagus; Chronic cough; Dental erosion"
"Peptic Ulcer Disease","Gastrointestinal bleeding; Perforation; Gastric outlet obstruction; Peritonitis; Anemia"
"Irritable Bowel Syndrome (IBS)","Chronic abdominal pain; Reduced quality of life; Anxiety; Depression; Food-related restrictions"
"Crohn's Disease","Intestinal obstruction; Fistulas; Abscesses; Malnutrition; Anemia; Increased colorectal cancer risk"
"Ulcerative Colitis","Severe bleeding; Toxic megacolon; Perforated colon; Anemia; Colorectal cancer; Blood clots"
"Kidney Stones","Urinary obstruction; Kidney infection; Kidney damage; Hydronephrosis; Recurrent stones"
"Chronic Kidney Disease","Kidney failure; Anemia; Bone disease; Cardiovascular disease; Fluid retention; Electrolyte imbalance"
"Urinary Tract Infection","Kidney infection; Sepsis; Recurrent infections; Kidney damage in severe or untreated cases"
"Migraine","Chronic migraine; Medication-overuse headache; Sleep problems; Anxiety; Depression; Reduced quality of life"
"Epilepsy","Injuries from seizures; Status epilepticus; Cognitive difficulties; Depression; Sudden unexpected death in epilepsy"
"Parkinson's Disease","Falls; Difficulty swallowing; Aspiration pneumonia; Depression; Cognitive impairment; Mobility problems"
"Alzheimer's Disease","Memory loss; Loss of independence; Difficulty communicating; Falls; Infections; Malnutrition"
"Multiple Sclerosis","Mobility problems; Vision problems; Muscle weakness; Bladder problems; Cognitive difficulties; Depression"
"Stroke","Permanent disability; Paralysis; Speech difficulties; Swallowing problems; Cognitive impairment; Seizures"
"Osteoarthritis","Chronic pain; Reduced mobility; Joint deformity; Disability; Reduced quality of life"
"Rheumatoid Arthritis","Joint deformity; Bone loss; Disability; Cardiovascular disease; Lung disease; Osteoporosis"
"Osteoporosis","Fractures; Hip fracture; Spinal fractures; Loss of height; Chronic pain; Reduced mobility"
"Gout","Recurrent gout attacks; Tophi; Joint damage; Kidney stones; Kidney disease"
"Fibromyalgia","Chronic pain; Sleep problems; Fatigue; Depression; Anxiety; Reduced physical functioning"
"Psoriasis","Psoriatic arthritis; Cardiovascular disease; Metabolic syndrome; Depression; Anxiety; Eye inflammation"
"Eczema (Atopic Dermatitis)","Skin infections; Sleep disturbance; Scarring; Skin thickening; Asthma and allergic conditions"
"Acne Vulgaris","Permanent scars; Dark skin marks; Depression; Anxiety; Reduced self-esteem"
"Cellulitis","Abscess; Blood infection; Sepsis; Tissue damage; Recurrent cellulitis; Lymphatic damage"
"Fungal Infection","Spread of infection; Recurrent infection; Nail damage; Secondary bacterial infection; Skin breakdown"
"Hypothyroidism","Goiter; Heart problems; Infertility; Pregnancy complications; Peripheral neuropathy; Severe hypothyroidism"
"Hyperthyroidism","Heart rhythm problems; Heart failure; Osteoporosis; Eye problems; Thyroid storm; Muscle weakness"
"Polycystic Ovary Syndrome (PCOS)","Infertility; Type 2 diabetes; High blood pressure; High cholesterol; Endometrial cancer risk; Depression"
"Endometriosis","Chronic pelvic pain; Infertility; Ovarian cysts; Adhesions; Bowel or bladder complications"
"Cervical Cancer","Spread to nearby organs; Lymph node involvement; Infertility; Kidney problems; Severe bleeding; Death"
"Breast Cancer","Lymph node involvement; Bone metastasis; Lung metastasis; Liver metastasis; Brain metastasis; Treatment-related complications"
"Prostate Cancer","Urinary obstruction; Erectile dysfunction; Bone metastasis; Kidney problems; Pain; Treatment-related complications"
"Colon Cancer","Bowel obstruction; Gastrointestinal bleeding; Perforation; Anemia; Liver metastasis; Lung metastasis"
"Leukemia","Severe infections; Anemia; Bleeding; Organ infiltration; Tumor lysis syndrome; Severe weakness"
"Lymphoma","Organ involvement; Bone marrow suppression; Infections; Anemia; Tumor lysis syndrome; Spread to other organs"
"Major Depressive Disorder","Social isolation; Poor work or academic performance; Substance misuse; Sleep problems; Self-harm risk; Suicide risk"
"Generalized Anxiety Disorder","Insomnia; Depression; Panic attacks; Substance misuse; Social difficulties; Reduced quality of life"
"Bipolar Disorder","Severe mood episodes; Relationship problems; Substance misuse; Financial difficulties; Psychosis; Suicide risk"
"Schizophrenia","Social withdrawal; Cognitive impairment; Substance misuse; Difficulty functioning; Physical health problems; Suicide risk"
"Obsessive Compulsive Disorder (OCD)","Severe anxiety; Depression; Social isolation; Difficulty functioning; Sleep problems; Reduced quality of life"
"Autism Spectrum Disorder","Communication difficulties; Social challenges; Sensory problems; Anxiety; Depression; Difficulty with independent living"
"Attention Deficit Hyperactivity Disorder (ADHD)","Academic difficulties; Work difficulties; Relationship problems; Anxiety; Depression; Impulsive behavior"
"Sleep Apnea","High blood pressure; Heart disease; Stroke; Arrhythmias; Daytime fatigue; Accidents due to sleepiness"
"Insomnia","Daytime fatigue; Poor concentration; Mood changes; Depression; Anxiety; Reduced quality of life"
"Chronic Fatigue Syndrome","Severe activity limitations; Sleep problems; Cognitive difficulties; Social isolation; Depression; Reduced quality of life"
"Acute Sinusitis","Chronic sinusitis; Eye socket infection; Meningitis; Brain abscess; Bone infection in rare severe cases"
"Chronic Sinusitis","Nasal polyps; Recurrent infections; Reduced sense of smell; Eye complications; Sleep problems"
"Otitis Media","Hearing loss; Speech delays in children; Eardrum perforation; Mastoiditis; Recurrent infections"
"Conjunctivitis","Corneal infection; Vision problems; Recurrent infection; Eye inflammation in severe cases"
"Glaucoma","Permanent vision loss; Optic nerve damage; Blindness"
"Cataract","Progressive vision loss; Reduced independence; Falls; Blindness if untreated"
"Allergic Rhinitis","Sinusitis; Asthma worsening; Sleep problems; Ear problems; Reduced quality of life"
"Tonsillitis","Peritonsillar abscess; Difficulty breathing; Dehydration; Spread of infection; Rheumatic fever in certain streptococcal infections"
"Pharyngitis","Peritonsillar abscess; Rheumatic fever after certain streptococcal infections; Kidney inflammation; Ear infection"
"Laryngitis","Persistent voice problems; Vocal cord lesions; Breathing difficulty in severe cases; Chronic laryngeal irritation"
"Coronary Artery Disease (CAD)","Heart attack; Heart failure; Arrhythmia; Stroke; Sudden cardiac death"
"Heart Failure","Kidney damage; Liver problems; Pulmonary hypertension; Arrhythmias; Fluid accumulation; Hospitalization"
"Arrhythmia","Stroke; Heart failure; Fainting; Cardiac arrest; Sudden cardiac death depending on type"
"Deep Vein Thrombosis (DVT)","Pulmonary embolism; Post-thrombotic syndrome; Chronic leg swelling; Recurrent blood clots"
"Peripheral Artery Disease (PAD)","Poor wound healing; Limb ischemia; Tissue death; Amputation; Heart attack; Stroke"
"Hyperlipidemia","Atherosclerosis; Coronary artery disease; Heart attack; Stroke; Peripheral artery disease"
"Obesity","Type 2 diabetes; High blood pressure; Heart disease; Sleep apnea; Osteoarthritis; Fatty liver disease"
"Metabolic Syndrome","Type 2 diabetes; Cardiovascular disease; Stroke; Fatty liver disease; Kidney disease"
"Iron Deficiency Anemia","Severe fatigue; Heart problems; Pregnancy complications; Developmental problems in children; Reduced immunity"
"Vitamin B12 Deficiency Anemia","Nerve damage; Memory problems; Balance problems; Cognitive impairment; Depression; Permanent neurological damage if prolonged"
"Sickle Cell Disease","Severe pain crises; Anemia; Stroke; Acute chest syndrome; Organ damage; Infections"
"Thalassemia","Severe anemia; Iron overload; Heart problems; Liver disease; Bone deformities; Growth problems"
"Hemophilia","Joint damage; Muscle bleeding; Internal bleeding; Brain bleeding; Anemia; Disability"
"Hypoglycemia","Seizures; Loss of consciousness; Brain injury; Accidents; Coma; Death"
