Disease,Prevention1,Prevention2,Prevention3
"Diabetes Mellitus","Maintain a healthy weight","Exercise regularly","Limit excess sugar and refined carbohydrates"
"Hypertension","Reduce salt intake","Exercise regularly","Maintain a healthy weight"
"Asthma","Avoid known triggers","Do not smoke or inhale tobacco smoke","Follow the prescribed asthma action plan"
"COPD","Do not smoke","Avoid air pollution and harmful fumes","Stay physically active and maintain vaccinations"
"Pneumonia","Maintain good hand hygiene","Keep vaccinations up to date","Avoid smoking"
"Tuberculosis","Maintain good ventilation","Avoid prolonged exposure to untreated active TB","Complete preventive or treatment therapy when prescribed"
"COVID-19","Maintain good hand hygiene","Improve indoor ventilation","Follow current vaccination and infection-control guidance"
"Influenza","Get recommended seasonal vaccination","Wash hands regularly","Avoid close contact with people who are sick"
"Dengue","Prevent mosquito bites","Remove standing water around the home","Use mosquito nets or repellents"
"Malaria","Use mosquito repellents","Sleep under insecticide-treated nets","Reduce mosquito breeding sites"
"Typhoid","Drink safe treated water","Maintain food hygiene","Wash hands regularly"
"Cholera","Drink safe water","Maintain proper sanitation","Wash hands before eating and preparing food"
"Hepatitis A","Practice good hand hygiene","Drink safe water","Follow recommended vaccination"
"Hepatitis B","Follow recommended vaccination","Avoid sharing needles or personal items contaminated with blood","Practice safer sex"
"Fatty Liver Disease","Maintain a healthy weight","Exercise regularly","Limit alcohol intake"
"Gastritis","Avoid unnecessary NSAID use","Limit alcohol","Avoid foods that trigger symptoms"
"GERD","Maintain a healthy weight","Avoid lying down soon after meals","Limit foods that trigger reflux"
"Peptic Ulcer Disease","Avoid unnecessary NSAIDs","Avoid smoking","Treat H. pylori infection when diagnosed"
"Irritable Bowel Syndrome (IBS)","Identify and avoid personal food triggers","Manage stress","Maintain regular physical activity"
"Crohn's Disease","Avoid smoking","Follow medical and nutritional advice","Attend regular specialist checkups"
"Ulcerative Colitis","Follow prescribed treatment","Avoid known personal triggers","Attend regular specialist checkups"
"Kidney Stones","Drink adequate water","Limit excessive salt","Follow dietary advice based on stone type"
"Chronic Kidney Disease","Control blood pressure","Control diabetes","Avoid unnecessary NSAID use"
"Urinary Tract Infection","Maintain good personal hygiene","Drink adequate fluids","Do not delay urination"
"Migraine","Identify and avoid personal triggers","Maintain regular sleep","Stay adequately hydrated"
"Epilepsy","Take prescribed medicines consistently","Maintain regular sleep","Avoid known seizure triggers"
"Parkinson's Disease","Exercise regularly as appropriate","Prevent falls","Attend regular medical follow-ups"
"Alzheimer's Disease","Maintain regular physical activity","Control cardiovascular risk factors","Stay socially and mentally active"
"Multiple Sclerosis","Maintain regular physical activity","Avoid smoking","Attend regular specialist follow-ups"
"Stroke","Control blood pressure","Do not smoke","Control diabetes and cholesterol"
"Osteoarthritis","Maintain a healthy weight","Exercise regularly","Protect joints from excessive strain"
"Rheumatoid Arthritis","Do not smoke","Maintain regular physical activity","Seek early medical evaluation for persistent joint symptoms"
"Osteoporosis","Ensure adequate calcium and vitamin D","Perform weight-bearing exercise","Prevent falls"
"Gout","Maintain a healthy weight","Limit excessive alcohol","Stay adequately hydrated"
"Fibromyalgia","Maintain regular physical activity","Maintain a consistent sleep schedule","Manage stress"
"Psoriasis","Avoid known triggers","Do not smoke","Maintain a healthy weight and lifestyle"
"Eczema (Atopic Dermatitis)","Moisturize skin regularly","Avoid known skin irritants","Use gentle fragrance-free products"
"Acne Vulgaris","Clean skin gently","Avoid squeezing pimples","Use non-comedogenic skin products"
"Cellulitis","Clean and protect skin wounds","Treat skin infections promptly","Maintain good skin hygiene"
"Fungal Infection","Keep skin clean and dry","Avoid sharing towels and clothing","Wear breathable footwear and clothing"
"Hypothyroidism","Attend regular thyroid checkups","Take prescribed treatment correctly","Maintain a balanced diet"
"Hyperthyroidism","Attend regular thyroid checkups","Take prescribed treatment correctly","Avoid excessive iodine supplements unless advised"
"Polycystic Ovary Syndrome (PCOS)","Maintain a healthy weight","Exercise regularly","Attend regular gynecological checkups"
"Endometriosis","Attend regular gynecological checkups","Maintain regular physical activity","Seek evaluation for persistent pelvic pain"
"Cervical Cancer","Attend recommended cervical screening","Get HPV vaccination when eligible","Avoid smoking"
"Breast Cancer","Attend recommended breast screening","Know and report unusual breast changes","Maintain a healthy lifestyle"
"Prostate Cancer","Attend age-appropriate medical screening","Maintain a healthy weight","Exercise regularly"
"Colon Cancer","Attend recommended colorectal screening","Eat a fiber-rich balanced diet","Avoid smoking and excessive alcohol"
"Leukemia","Avoid unnecessary exposure to harmful chemicals and radiation","Maintain regular medical care","Report persistent unexplained symptoms promptly"
"Lymphoma","Maintain a healthy lifestyle","Avoid unnecessary exposure to harmful chemicals","Seek medical evaluation for persistent swollen lymph nodes"
"Major Depressive Disorder","Maintain social connections","Exercise regularly and maintain a healthy routine","Seek professional help when symptoms persist"
"Generalized Anxiety Disorder","Practice stress-management techniques","Exercise regularly","Maintain regular sleep and healthy routines"
"Bipolar Disorder","Maintain a regular sleep schedule","Avoid alcohol and recreational drugs","Continue prescribed treatment and regular psychiatric care"
"Schizophrenia","Seek early professional support for concerning symptoms","Avoid recreational drugs","Maintain regular mental-health follow-up"
"Obsessive Compulsive Disorder (OCD)","Seek professional help for persistent intrusive thoughts or compulsions","Manage stress","Maintain regular sleep and daily routines"
"Autism Spectrum Disorder","Support healthy pregnancy and early childhood development","Seek developmental assessment when concerns arise","Provide early support when developmental differences are identified"
"Attention Deficit Hyperactivity Disorder (ADHD)","Maintain healthy sleep habits","Provide structured routines and support","Seek professional assessment when persistent symptoms affect daily life"
"Sleep Apnea","Maintain a healthy weight","Avoid excessive alcohol and sedatives before sleep","Seek evaluation for persistent loud snoring or daytime sleepiness"
"Insomnia","Maintain a consistent sleep schedule","Limit caffeine late in the day","Create a quiet and comfortable sleeping environment"
"Chronic Fatigue Syndrome","Avoid overexertion","Maintain balanced activity and rest","Seek medical evaluation for persistent unexplained fatigue"
