Disease,RiskFactors
"Diabetes Mellitus","Family history; overweight or obesity; physical inactivity; unhealthy diet; increasing age"
"Hypertension","Family history; high-salt diet; obesity; physical inactivity; tobacco use; excess alcohol"
"Asthma","Family history; allergies; smoke exposure; air pollution; occupational irritants; respiratory infections"
"COPD","Smoking; secondhand smoke; occupational dust or chemicals; air pollution; genetic susceptibility"
"Pneumonia","Older age; young age; weakened immunity; chronic lung disease; smoking; recent respiratory infection"
"Tuberculosis","Close contact with TB; weakened immunity; HIV infection; undernutrition; crowded living conditions"
"COVID-19","Exposure to infected person; older age; chronic diseases; weakened immunity; lack of vaccination"
"Influenza","Close contact; seasonal exposure; older age; young children; pregnancy; chronic illness"
"Dengue","Mosquito exposure; living or traveling in endemic areas; previous dengue infection"
"Malaria","Mosquito exposure; travel or residence in endemic areas; lack of mosquito protection"
"Typhoid","Contaminated food or water; poor sanitation; travel to endemic areas; close exposure"
"Cholera","Contaminated water; contaminated food; poor sanitation; outbreaks in crowded areas"
"Hepatitis A","Contaminated food or water; close contact; travel to endemic areas; lack of vaccination"
"Hepatitis B","Exposure to infected blood or body fluids; unprotected sex; shared needles; perinatal exposure"
"Fatty Liver Disease","Obesity; insulin resistance; diabetes; high cholesterol; metabolic syndrome"
"Gastritis","H. pylori infection; NSAID use; alcohol; smoking; severe physical stress"
"GERD","Obesity; large meals; lying down after eating; pregnancy; smoking; certain foods"
"Peptic Ulcer Disease","H. pylori infection; NSAID use; smoking; previous ulcer; excess alcohol"
"Irritable Bowel Syndrome (IBS)","Stress; altered gut-brain interaction; certain foods; previous intestinal infection; family history"
"Crohn's Disease","Family history; smoking; immune dysregulation; environmental factors"
"Ulcerative Colitis","Family history; immune dysregulation; environmental factors; smoking history"
"Kidney Stones","Low fluid intake; high salt intake; family history; obesity; certain diets; previous stones"
"Chronic Kidney Disease","Diabetes; hypertension; cardiovascular disease; family history; smoking"
"Urinary Tract Infection","Female anatomy; sexual activity; urinary obstruction; catheter use; previous UTI"
"Migraine","Family history; stress; sleep changes; hormonal changes; certain foods; sensory triggers"
"Epilepsy","Previous brain injury; stroke; brain infection; genetic factors; developmental disorders"
"Parkinson's Disease","Increasing age; family history; certain environmental exposures"
"Alzheimer's Disease","Increasing age; family history; cardiovascular risk factors; prior head injury"
"Multiple Sclerosis","Family history; immune factors; low vitamin D; smoking; certain infections"
"Stroke","Hypertension; diabetes; smoking; high cholesterol; atrial fibrillation; obesity"
"Osteoarthritis","Increasing age; joint injury; obesity; repetitive joint stress; family history"
"Rheumatoid Arthritis","Family history; smoking; female sex; autoimmune susceptibility"
"Osteoporosis","Older age; low calcium or vitamin D; menopause; low body weight; steroid use; family history"
"Gout","High uric acid; obesity; kidney disease; certain foods; alcohol; some medicines"
"Fibromyalgia","Family history; physical or emotional stress; other chronic pain conditions"
"Psoriasis","Family history; immune factors; stress; skin injury; smoking; obesity"
"Eczema (Atopic Dermatitis)","Family history of atopy; allergies; dry skin; irritants; stress"
"Acne Vulgaris","Hormonal changes; adolescence; family history; certain medicines; occlusive cosmetics"
"Cellulitis","Skin breaks; wounds; edema; diabetes; weakened immunity"
"Fungal Infection","Moist environments; close contact; shared towels or shoes; weakened immunity"
"Hypothyroidism","Autoimmune thyroid disease; family history; thyroid surgery or radiation; certain medicines"
"Hyperthyroidism","Graves disease; thyroid nodules; thyroid inflammation; excess iodine"
"Polycystic Ovary Syndrome (PCOS)","Family history; insulin resistance; obesity; hormonal imbalance"
"Endometriosis","Family history; early menstruation; short menstrual cycles; heavy periods"
"Cervical Cancer","Persistent high-risk HPV infection; smoking; weakened immunity; lack of screening"
"Breast Cancer","Age; family history; inherited gene variants; hormonal factors; obesity after menopause"
"Prostate Cancer","Increasing age; family history; inherited genetic factors"
"Colon Cancer","Age; family history; inflammatory bowel disease; obesity; smoking; low-fiber diet"
"Leukemia","Certain genetic disorders; previous chemotherapy or radiation; some chemical exposures"
"Lymphoma","Immune suppression; certain infections; family history; autoimmune conditions"
"Major Depressive Disorder","Family history; chronic stress; trauma; medical illness; substance use"
"Generalized Anxiety Disorder","Family history; chronic stress; trauma; other mental health conditions"
"Bipolar Disorder","Family history; genetic factors; major stress; substance use"
"Schizophrenia","Family history; genetic vulnerability; prenatal complications; substance exposure"
"Obsessive Compulsive Disorder (OCD)","Family history; genetic factors; stress; certain childhood infections in selected cases"
"Autism Spectrum Disorder","Genetic factors; family history; certain prenatal or perinatal factors"
"Attention Deficit Hyperactivity Disorder (ADHD)","Family history; genetic factors; prenatal or perinatal risk factors"
"Sleep Apnea","Obesity; enlarged upper-airway tissues; older age; alcohol; family history"
"Insomnia","Stress; anxiety or depression; irregular sleep schedule; caffeine; medical conditions"
"Chronic Fatigue Syndrome","Post-infectious onset; immune factors; sleep problems; stress-related triggers"
"Acute Sinusitis","Viral respiratory infection; allergies; nasal obstruction; smoke exposure"
"Chronic Sinusitis","Allergies; nasal polyps; structural blockage; recurrent infections; smoke exposure"
"Otitis Media","Young age; recent cold; daycare exposure; smoke exposure; eustachian tube dysfunction"
"Conjunctivitis","Viral or bacterial exposure; allergens; contaminated hands; contact lens misuse"
"Glaucoma","Increasing age; family history; high eye pressure; diabetes; steroid exposure"
"Cataract","Increasing age; diabetes; smoking; UV exposure; steroid use; eye injury"
"Allergic Rhinitis","Family history of allergies; pollen; dust mites; animal dander; mold"
"Tonsillitis","Exposure to respiratory infections; close contact; young age"
"Pharyngitis","Viral exposure; close contact; group settings; bacterial infection exposure"
"Laryngitis","Viral infection; voice overuse; smoking; reflux; irritants"
"Coronary Artery Disease (CAD)","Smoking; hypertension; diabetes; high cholesterol; obesity; family history"
"Heart Failure","Coronary artery disease; hypertension; diabetes; valve disease; previous heart attack"
"Arrhythmia","Heart disease; electrolyte imbalance; thyroid disease; stimulants; some medicines"
"Deep Vein Thrombosis (DVT)","Prolonged immobility; surgery; cancer; pregnancy; estrogen therapy; previous DVT"
"Peripheral Artery Disease (PAD)","Smoking; diabetes; high cholesterol; hypertension; older age"
"Hyperlipidemia","Family history; obesity; unhealthy diet; physical inactivity; diabetes"
"Obesity","High-calorie diet; physical inactivity; genetics; sleep problems; certain medicines"
"Metabolic Syndrome","Abdominal obesity; insulin resistance; hypertension; high triglycerides; low HDL"
"Iron Deficiency Anemia","Blood loss; low iron intake; pregnancy; malabsorption; heavy menstrual bleeding"
"Vitamin B12 Deficiency Anemia","Poor intake; malabsorption; pernicious anemia; gastric surgery; certain medicines"
"Sickle Cell Disease","Inherited genetic mutation; family history"
"Thalassemia","Inherited genetic mutation; family history"
"Hemophilia","Inherited clotting-factor mutation; family history"
