Disease,Precaution1,Precaution2,Precaution3,Precaution4
Diabetes Mellitus,Monitor blood sugar regularly,Follow a healthy balanced diet,Exercise regularly,Take prescribed medicines
Hypertension,Monitor blood pressure regularly,Reduce salt intake,Exercise regularly,Take prescribed medicines
Asthma,Avoid known triggers,Use prescribed inhaler,Keep surroundings free from smoke and dust,Seek medical help for severe breathing difficulty
COPD,Avoid smoking,Avoid air pollution,Follow prescribed treatment,Practice breathing exercises
Pneumonia,Take prescribed medicines,Get adequate rest,Drink sufficient fluids,Seek medical help if breathing worsens
Tuberculosis,Complete prescribed treatment,Maintain good nutrition,Avoid close contact during infectious period,Attend regular medical checkups
COVID-19,Maintain good hygiene,Rest adequately,Stay hydrated,Seek medical help for breathing difficulty
Influenza,Get adequate rest,Drink plenty of fluids,Maintain good hygiene,Seek medical care if symptoms become severe
Dengue,Drink plenty of fluids,Get adequate rest,Avoid medicines that increase bleeding risk,Seek medical care for bleeding or severe symptoms
Malaria,Take prescribed antimalarial medicines,Drink sufficient fluids,Get adequate rest,Seek immediate care for severe symptoms
Typhoid,Complete prescribed antibiotics,Drink sufficient fluids,Eat easily digestible food,Maintain good hygiene
Cholera,Drink oral rehydration solution,Replace lost fluids and electrolytes,Maintain strict hygiene,Seek immediate medical treatment
Hepatitis A,Get adequate rest,Maintain a healthy diet,Avoid alcohol,Follow medical advice
Hepatitis B,Attend regular liver checkups,Avoid alcohol,Avoid sharing personal items,Follow prescribed treatment
Fatty Liver Disease,Maintain healthy body weight,Exercise regularly,Avoid excessive fatty foods,Avoid alcohol
Gastritis,Avoid spicy foods,Avoid alcohol,Take medicines as prescribed,Eat smaller meals
GERD,Avoid large meals,Avoid lying down after eating,Avoid trigger foods,Maintain healthy body weight
Peptic Ulcer Disease,Avoid irritating foods,Avoid unnecessary painkillers,Take prescribed medicines,Avoid smoking and alcohol
Irritable Bowel Syndrome (IBS),Identify trigger foods,Eat a balanced diet,Exercise regularly,Manage stress
Crohn's Disease,Follow prescribed treatment,Maintain adequate nutrition,Avoid known trigger foods,Attend regular medical checkups
Ulcerative Colitis,Follow prescribed treatment,Maintain adequate nutrition,Monitor symptoms regularly,Seek medical help for severe bleeding
Kidney Stones,Drink sufficient water,Reduce excessive salt intake,Follow dietary advice,Seek medical help for severe pain or fever
Chronic Kidney Disease,Monitor kidney function,Control blood pressure,Follow recommended diet,Take prescribed medicines
Urinary Tract Infection,Drink sufficient water,Maintain personal hygiene,Do not delay urination,Complete prescribed treatment
Migraine,Avoid known triggers,Maintain regular sleep,Stay hydrated,Manage stress
Epilepsy,Take medicines as prescribed,Avoid known seizure triggers,Get adequate sleep,Follow regular medical checkups
Parkinson's Disease,Take prescribed medicines,Exercise regularly,Prevent falls,Attend regular neurological checkups
Alzheimer's Disease,Maintain a safe environment,Follow prescribed treatment,Maintain regular routines,Attend medical checkups
Multiple Sclerosis,Follow prescribed treatment,Exercise within tolerance,Avoid excessive heat,Attend regular medical checkups
Stroke,Seek emergency medical attention immediately,Monitor blood pressure,Follow prescribed treatment,Attend rehabilitation
Osteoarthritis,Maintain healthy body weight,Exercise regularly,Avoid excessive joint strain,Follow prescribed pain management
Rheumatoid Arthritis,Follow prescribed treatment,Exercise gently,Protect affected joints,Attend regular rheumatology checkups
Osteoporosis,Ensure adequate calcium and vitamin D,Perform weight-bearing exercise,Prevent falls,Follow prescribed treatment
Gout,Limit high-purine foods,Drink sufficient water,Maintain healthy body weight,Take prescribed medicines
Fibromyalgia,Maintain regular sleep,Exercise gradually,Manage stress,Follow prescribed treatment
Psoriasis,Moisturize skin regularly,Avoid known triggers,Do not scratch affected areas,Follow prescribed treatment
Eczema (Atopic Dermatitis),Moisturize skin regularly,Avoid irritating products,Avoid scratching,Follow prescribed treatment
Acne Vulgaris,Keep skin clean,Avoid squeezing pimples,Use non-comedogenic products,Follow dermatological advice
Cellulitis,Keep affected area clean,Take prescribed antibiotics,Monitor spreading redness,Seek medical help if fever develops
Fungal Infection,Keep affected area dry,Maintain good hygiene,Avoid sharing personal items,Complete prescribed antifungal treatment
Hypothyroidism,Take thyroid medicine as prescribed,Monitor thyroid levels,Maintain a balanced diet,Attend regular medical checkups
Hyperthyroidism,Take prescribed medicines,Monitor thyroid levels,Avoid excessive stimulants,Attend regular medical checkups
Polycystic Ovary Syndrome (PCOS),Maintain healthy body weight,Exercise regularly,Follow a balanced diet,Attend regular medical checkups
Endometriosis,Follow prescribed treatment,Track symptoms,Exercise moderately,Attend regular gynecological checkups
Cervical Cancer,Attend regular screening,Follow specialist treatment,Maintain healthy lifestyle,Attend scheduled follow-up visits
Breast Cancer,Perform recommended screening,Consult a specialist for breast changes,Follow prescribed treatment,Attend regular follow-up visits
Prostate Cancer,Attend regular screening,Consult a specialist for urinary symptoms,Follow prescribed treatment,Attend follow-up appointments
Colon Cancer,Attend recommended screening,Maintain a healthy diet,Exercise regularly,Follow prescribed treatment
Leukemia,Follow specialist treatment,Avoid infection exposure,Attend regular blood tests,Report unusual bleeding or fever
Lymphoma,Follow specialist treatment,Attend regular checkups,Maintain adequate nutrition,Report persistent fever or swelling
Major Depressive Disorder,Seek professional mental health support,Take prescribed medicines,Maintain regular sleep,Stay connected with supportive people
Generalized Anxiety Disorder,Practice relaxation techniques,Maintain regular sleep,Exercise regularly,Seek professional mental health support
Bipolar Disorder,Take prescribed medicines,Maintain regular sleep,Attend psychiatric appointments,Avoid alcohol and recreational drugs
Schizophrenia,Take prescribed medicines,Attend psychiatric follow-ups,Maintain a supportive environment,Seek urgent help for severe symptoms
Obsessive Compulsive Disorder (OCD),Seek professional therapy,Take prescribed medicines as directed,Practice recommended coping techniques,Attend regular follow-ups
