Disease,Severity
"Diabetes Mellitus","Moderate; may become serious if poorly controlled"
"Hypertension","Moderate; can become serious when uncontrolled"
"Asthma","Moderate; severe attacks can be life-threatening"
"COPD","High; progressive disease with possible respiratory failure"
"Pneumonia","Moderate to High; severe cases can cause respiratory failure"
"Tuberculosis","High; requires proper treatment and follow-up"
"COVID-19","Usually Mild to Moderate; severe disease can occur"
"Influenza","Usually Mild to Moderate; complications can be serious"
"Dengue","Usually Moderate; severe dengue can be life-threatening"
"Malaria","Moderate to High; severe malaria can be life-threatening"
"Typhoid","Moderate; complications can become serious"
"Cholera","High if untreated because of severe dehydration"
"Hepatitis A","Usually Mild to Moderate; rarely causes acute liver failure"
"Hepatitis B","Variable; can become chronic and cause serious liver disease"
"Fatty Liver Disease","Usually Mild to Moderate; can progress to liver fibrosis"
"Gastritis","Usually Mild to Moderate; severe bleeding is possible"
"GERD","Usually Mild to Moderate; chronic disease can cause complications"
"Peptic Ulcer Disease","Moderate; bleeding or perforation can be serious"
"Irritable Bowel Syndrome (IBS)","Usually Mild to Moderate; chronic symptoms may affect quality of life"
"Crohn's Disease","Moderate to High; chronic inflammatory disease"
"Ulcerative Colitis","Moderate to High; severe flares can be dangerous"
"Kidney Stones","Moderate; obstruction or infection can become serious"
"Chronic Kidney Disease","High; progressive disease can lead to kidney failure"
"Urinary Tract Infection","Usually Mild to Moderate; kidney infection or sepsis can occur"
"Migraine","Usually Moderate; severe or frequent attacks can impair daily life"
"Epilepsy","High; uncontrolled seizures can cause serious complications"
"Parkinson's Disease","Moderate to High; progressive neurological disorder"
"Alzheimer's Disease","High; progressive condition affecting cognition and independence"
"Multiple Sclerosis","Moderate to High; severity varies considerably"
"Stroke","Critical; requires immediate emergency medical attention"
"Osteoarthritis","Usually Moderate; can cause chronic pain and disability"
"Rheumatoid Arthritis","Moderate to High; can cause progressive joint damage"
"Osteoporosis","Moderate; fractures can cause significant disability"
"Gout","Usually Moderate; recurrent disease can damage joints and kidneys"
"Fibromyalgia","Usually Moderate; chronic symptoms can affect quality of life"
"Psoriasis","Usually Mild to Moderate; severe disease may affect joints and overall health"
"Eczema (Atopic Dermatitis)","Usually Mild to Moderate; severe cases may become infected"
"Acne Vulgaris","Usually Mild to Moderate; severe cases may cause permanent scarring"
"Cellulitis","Moderate to High; severe infection can progress to sepsis"
"Fungal Infection","Usually Mild to Moderate; severe infection is possible in immunocompromised people"
"Hypothyroidism","Usually Moderate; severe untreated disease can become dangerous"
"Hyperthyroidism","Moderate to High; thyroid storm is a medical emergency"
"Polycystic Ovary Syndrome (PCOS)","Usually Moderate; long-term metabolic complications are possible"
"Endometriosis","Moderate to High; can cause chronic pain and infertility"
"Cervical Cancer","Critical; requires specialist evaluation and treatment"
"Breast Cancer","Critical; severity depends on stage and spread"
"Prostate Cancer","High; severity depends on stage and spread"
"Colon Cancer","Critical; severity depends on stage and spread"
"Leukemia","Critical; requires specialized medical treatment"
"Lymphoma","High to Critical; severity depends on type and stage"
"Major Depressive Disorder","Moderate to High; severe cases require urgent mental health support"
"Generalized Anxiety Disorder","Usually Moderate; severe symptoms can significantly impair functioning"
"Bipolar Disorder","High; severe mood episodes may require urgent treatment"
"Schizophrenia","High; requires ongoing specialist care"
"Obsessive Compulsive Disorder (OCD)","Usually Moderate; severe symptoms can significantly impair daily functioning"
"Autism Spectrum Disorder","Variable; support needs vary widely between individuals"
"Attention Deficit Hyperactivity Disorder (ADHD)","Usually Mild to Moderate; impact varies by individual"
"Sleep Apnea","Moderate to High; untreated disease can increase cardiovascular risk"
"Insomnia","Usually Mild to Moderate; chronic insomnia can significantly affect health"
"Chronic Fatigue Syndrome","Moderate to High; severity varies and may cause major activity limitations"
"Acute Sinusitis","Usually Mild to Moderate; complications are uncommon"
"Chronic Sinusitis","Usually Moderate; persistent symptoms may affect quality of life"
"Otitis Media","Usually Mild to Moderate; complications are uncommon but possible"
"Conjunctivitis","Usually Mild; some infections can cause serious eye complications"
"Glaucoma","High; untreated disease can cause permanent vision loss"
"Cataract","Usually Moderate; progressive untreated cataract can impair vision"
"Allergic Rhinitis","Usually Mild to Moderate; can significantly affect sleep and quality of life"
"Tonsillitis","Usually Mild to Moderate; severe complications are uncommon"
"Pharyngitis","Usually Mild to Moderate; some bacterial infections can cause complications"
"Laryngitis","Usually Mild to Moderate; persistent symptoms require evaluation"
"Coronary Artery Disease (CAD)","Critical; can lead to heart attack and heart failure"
"Heart Failure","High to Critical; requires ongoing medical management"
"Arrhythmia","Variable; some types are mild while others can be life-threatening"
"Deep Vein Thrombosis (DVT)","High; can cause life-threatening pulmonary embolism"
"Peripheral Artery Disease (PAD)","High; severe disease can threaten limb and cardiovascular health"
"Hyperlipidemia","Usually Moderate; increases long-term cardiovascular risk"
"Obesity","Moderate to High; associated with multiple chronic diseases"
"Metabolic Syndrome","High; increases risk of diabetes and cardiovascular disease"
"Iron Deficiency Anemia","Usually Moderate; severe anemia can affect heart and organ function"
"Vitamin B12 Deficiency Anemia","Moderate; prolonged deficiency can cause neurological damage"
"Sickle Cell Disease","High; chronic condition with potentially serious complications"
"Thalassemia","Moderate to High; severity depends on type"
"Hemophilia","High; severe bleeding can be life-threatening"
"Hypoglycemia","High; severe low blood sugar can cause seizures or unconsciousness"
"Hyperglycemic Crisis (DKA/HHS)","Critical; medical emergency requiring urgent treatment"
"Acute Pancreatitis","High to Critical; severe cases can cause organ failure"
"Chronic Pancreatitis","High; chronic disease can cause pain and pancreatic dysfunction"
"Appendicitis","Critical if untreated; requires urgent medical evaluation"
"Gallstones (Cholelithiasis)","Usually Moderate; complications can become serious"
"Acute Cholecystitis","High; untreated infection can cause serious complications"
"Chronic Liver Disease (Cirrhosis)","High to Critical; advanced disease can cause liver failure"
"Alcoholic Liver Disease","High; can progress to cirrhosis and liver failure"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Usually Mild to Moderate; advanced disease can cause cirrhosis"
"Liver Cancer (Hepatocellular Carcinoma)","Critical; requires specialist cancer treatment"
"Portal Hypertension","High; gastrointestinal bleeding can be life-threatening"
"HIV/AIDS","High; requires lifelong medical management"
"Sepsis","Critical; medical emergency requiring immediate treatment"
"Systemic Lupus Erythematosus (SLE)","High; severity depends on organ involvement"
"Rheumatic Fever","High; can cause permanent heart-valve damage"
"Long COVID","Variable; symptoms range from mild to significantly disabling"
