Disease,Treatment
"Diabetes Mellitus","Lifestyle modification; Blood glucose monitoring; Metformin or other prescribed medicines when appropriate; Insulin when indicated; Regular medical follow-up"
"Hypertension","Lifestyle modification; Blood pressure monitoring; Antihypertensive medicines when prescribed; Reduce dietary sodium; Regular medical follow-up"
"Asthma","Avoid triggers; Reliever inhaler when prescribed; Controller inhaled medicines when indicated; Asthma action plan; Regular medical review"
"COPD","Smoking cessation; Inhaled bronchodilators; Inhaled medicines when prescribed; Pulmonary rehabilitation; Vaccination; Regular respiratory follow-up"
"Pneumonia","Medical evaluation; Appropriate antibiotics for bacterial pneumonia; Rest; Adequate fluids; Fever management; Hospital treatment when severe"
"Tuberculosis","Combination anti-tuberculosis medicines; Strict adherence to prescribed treatment; Monitoring for treatment response; Nutritional support; Specialist follow-up"
"COVID-19","Rest; Adequate fluids; Symptom management; Medical evaluation for high-risk patients; Antiviral treatment when indicated; Emergency care for severe symptoms"
"Influenza","Rest; Fluids; Fever and pain management; Antiviral medicine when indicated; Medical evaluation for severe illness"
"Dengue","Adequate fluids; Rest; Monitoring for warning signs; Fever management with appropriate medicines; Hospital care when severe; Avoid aspirin and NSAIDs unless medically advised"
"Malaria","Antimalarial treatment based on parasite and severity; Fluids; Fever management; Monitoring for complications; Hospital treatment when severe"
"Typhoid","Appropriate antibiotics based on medical evaluation; Fluids; Rest; Nutritional support; Treatment of complications when present"
"Cholera","Rapid oral or intravenous rehydration; Electrolyte replacement; Appropriate antibiotics when indicated; Monitoring for dehydration and complications"
"Hepatitis A","Rest; Adequate fluids; Balanced nutrition; Avoid alcohol; Symptom management; Medical monitoring when severe"
"Hepatitis B","Antiviral treatment for chronic active disease when indicated; Liver monitoring; Avoid alcohol; Regular specialist follow-up; Monitoring for liver complications"
"Fatty Liver Disease","Weight management; Regular exercise; Balanced diet; Control diabetes and cholesterol; Avoid excessive alcohol; Regular liver monitoring"
"Gastritis","Treat underlying cause; H. pylori treatment when present; Acid-reducing medicines when prescribed; Avoid irritating medicines and foods; Lifestyle modification"
"GERD","Lifestyle modification; Weight management when appropriate; Avoid trigger foods; Acid-reducing medicines when prescribed; Elevate head during sleep when appropriate"
"Peptic Ulcer Disease","Treat H. pylori when present; Stop or reduce causative NSAIDs when medically appropriate; Acid-suppressing medicines; Avoid smoking; Follow-up evaluation"
"Irritable Bowel Syndrome (IBS)","Dietary modification; Identify food triggers; Adequate hydration; Regular exercise; Stress management; Medicines for specific symptoms when prescribed"
"Crohn's Disease","Anti-inflammatory or immune-modifying medicines when prescribed; Nutritional support; Biologic therapy when indicated; Surgery for selected complications; Regular gastroenterology follow-up"
"Ulcerative Colitis","Anti-inflammatory medicines; Immune-modifying medicines when indicated; Biologic therapy when appropriate; Nutritional support; Surgery for selected severe or complicated cases"
"Kidney Stones","Adequate fluids; Pain management; Medicines to help stone passage when appropriate; Stone removal procedures for selected cases; Stone analysis and prevention planning"
"Chronic Kidney Disease","Control blood pressure and diabetes; Kidney-protective medicines when prescribed; Dietary management; Treatment of anemia and mineral disorders when indicated; Dialysis or transplantation for advanced disease"
"Urinary Tract Infection","Appropriate antibiotics when bacterial infection is confirmed or strongly suspected; Adequate fluids; Pain management; Evaluation for recurrent or complicated infections"
"Migraine","Identify triggers; Rest in a quiet environment; Acute migraine medicines when prescribed; Preventive medicines for frequent attacks; Regular medical follow-up"
"Epilepsy","Anti-seizure medicines; Seizure safety planning; Avoid known triggers; Regular neurological follow-up; Surgery or specialized therapy for selected drug-resistant cases"
"Parkinson's Disease","Dopaminergic medicines; Physical therapy; Exercise; Occupational and speech therapy; Advanced therapies for selected patients; Regular neurological follow-up"
"Alzheimer's Disease","Cognitive and functional support; Medicines for selected symptoms; Safety planning; Caregiver support; Management of associated medical conditions; Regular follow-up"
"Multiple Sclerosis","Disease-modifying therapies; Treatment of relapses when indicated; Physical therapy; Symptom management; Rehabilitation; Regular neurological follow-up"
"Stroke","Emergency stroke evaluation; Reperfusion treatment when eligible; Blood pressure and risk-factor management; Antiplatelet or anticoagulant treatment when indicated; Rehabilitation"
"Osteoarthritis","Exercise; Weight management; Physical therapy; Pain management; Joint-support strategies; Joint replacement surgery for severe selected cases"
"Rheumatoid Arthritis","Disease-modifying antirheumatic drugs; Biologic medicines when indicated; Physical therapy; Occupational therapy; Pain and inflammation management; Regular rheumatology follow-up"
"Osteoporosis","Calcium and vitamin D when indicated; Weight-bearing exercise; Fall prevention; Bone-strengthening medicines when appropriate; Fracture prevention and monitoring"
"Gout","Treatment of acute attacks; Anti-inflammatory medicines when prescribed; Urate-lowering therapy for recurrent or chronic gout; Dietary and lifestyle modification; Regular monitoring"
"Fibromyalgia","Exercise and physical activity; Sleep management; Stress reduction; Cognitive behavioral therapy; Medicines for selected symptoms; Regular medical follow-up"
"Psoriasis","Moisturizers; Topical medicines; Phototherapy; Systemic medicines or biologic therapy for moderate to severe disease; Regular dermatology follow-up"
"Eczema (Atopic Dermatitis)","Regular moisturizers; Avoid triggers; Topical corticosteroids or other prescribed medicines; Treatment of skin infections when present; Specialist treatment for severe disease"
"Acne Vulgaris","Gentle skin care; Topical retinoids; Benzoyl peroxide or other topical medicines; Oral medicines for selected moderate to severe cases; Dermatology follow-up when needed"
"Cellulitis","Appropriate antibiotics; Wound care; Elevation of affected area; Treatment of underlying skin conditions; Hospital treatment for severe infection"
"Fungal Infection","Topical antifungal medicines for localized infection; Oral antifungal medicines when indicated; Keep affected area clean and dry; Treat associated nail or scalp infection when present"
"Hypothyroidism","Thyroid hormone replacement with levothyroxine when indicated; Regular TSH monitoring; Dose adjustment by healthcare professional; Long-term follow-up"
"Hyperthyroidism","Antithyroid medicines; Beta-blockers for selected symptoms; Radioactive iodine treatment when appropriate; Surgery for selected cases; Regular thyroid monitoring"
"Polycystic Ovary Syndrome (PCOS)","Lifestyle modification; Weight management when appropriate; Menstrual regulation; Treatment for acne or excess hair when indicated; Fertility treatment when required; Metabolic monitoring"
"Endometriosis","Pain management; Hormonal therapy; Pelvic pain management; Surgery when indicated; Fertility support when required; Gynecological follow-up"
"Cervical Cancer","Treatment based on stage; Surgery; Radiation therapy; Chemotherapy; Targeted or immunotherapy for selected cases; Oncology follow-up"
"Breast Cancer","Treatment based on cancer type and stage; Surgery; Radiation therapy; Hormonal therapy when appropriate; Chemotherapy; Targeted or immunotherapy when indicated"
"Prostate Cancer","Active surveillance for selected low-risk cases; Surgery; Radiation therapy; Hormonal therapy; Chemotherapy or advanced systemic treatment when indicated; Oncology follow-up"
"Colon Cancer","Treatment based on stage; Surgery; Chemotherapy; Radiation therapy for selected cases; Targeted therapy or immunotherapy when indicated; Oncology follow-up"
"Leukemia","Treatment depends on leukemia type; Chemotherapy; Targeted therapy; Immunotherapy; Stem cell transplantation for selected cases; Hematology follow-up"
"Lymphoma","Treatment depends on lymphoma type and stage; Chemotherapy; Immunotherapy; Targeted therapy; Radiation therapy when indicated; Stem cell transplantation for selected cases"
"Major Depressive Disorder","Psychotherapy; Antidepressant medicines when prescribed; Lifestyle support; Regular mental health follow-up; Emergency mental health care when safety is a concern"
"Generalized Anxiety Disorder","Psychotherapy; Cognitive behavioral therapy; Medicines when prescribed; Stress management; Sleep improvement; Regular mental health follow-up"
"Bipolar Disorder","Mood-stabilizing medicines; Psychotherapy; Regular psychiatric follow-up; Sleep and routine management; Treatment of depressive or manic episodes as clinically indicated"
"Schizophrenia","Antipsychotic medicines; Psychosocial therapy; Rehabilitation; Family support; Regular psychiatric follow-up; Hospital care when severe"
"Obsessive Compulsive Disorder (OCD)","Cognitive behavioral therapy with exposure and response prevention; SSRI medicines when prescribed; Mental health follow-up; Supportive therapy"
