Disease,Exercise,Duration
"Diabetes Mellitus","Brisk walking; cycling; swimming; strength training; stretching","30-45 minutes, 5 days/week"
"Hypertension","Brisk walking; cycling; swimming; light strength training; yoga","30-45 minutes, most days"
"Asthma","Walking; swimming; cycling; breathing exercises; gentle stretching","20-30 minutes, most days; adjust according to symptoms"
"COPD","Walking; stationary cycling; pulmonary rehabilitation exercises; breathing exercises","20-30 minutes, most days, as tolerated"
"Pneumonia","Gentle walking; breathing exercises; light stretching during recovery","5-15 minutes initially; gradually increase as recovery allows"
"Tuberculosis","Gentle walking; light stretching; breathing exercises; gradual strengthening","15-30 minutes, as tolerated during recovery"
"COVID-19","Gentle walking; stretching; gradual strengthening after recovery","10-30 minutes, gradually increased according to symptoms"
"Influenza","Rest initially; gentle walking and stretching after fever resolves","10-20 minutes initially; gradually increase"
"Dengue","Rest; gentle stretching during recovery; gradual walking after medical clearance","Start with 5-10 minutes after recovery; increase gradually"
"Malaria","Rest during acute illness; gentle walking and stretching during recovery","10-20 minutes initially after recovery; gradually increase"
"Typhoid","Rest during acute illness; gentle walking and stretching during recovery","10-20 minutes initially; gradually increase"
"Cholera","Rest; gentle walking after hydration and recovery; light stretching","10-20 minutes initially after recovery"
"Hepatitis A","Walking; light stretching; gentle mobility exercises","15-30 minutes, as tolerated"
"Hepatitis B","Walking; cycling; swimming; light strength training; stretching","30 minutes, 5 days/week, as tolerated"
"Fatty Liver Disease","Brisk walking; cycling; swimming; strength training","30-45 minutes, 5 days/week"
"Gastritis","Walking; gentle yoga; stretching; light breathing exercises","20-30 minutes, most days"
"GERD","Walking; gentle stretching; light yoga; upright low-impact exercise","20-30 minutes, most days; avoid exercise immediately after meals"
"Peptic Ulcer Disease","Walking; gentle stretching; breathing exercises","20-30 minutes, as tolerated"
"Irritable Bowel Syndrome (IBS)","Walking; cycling; yoga; stretching; relaxation exercises","20-30 minutes, most days"
"Crohn's Disease","Walking; swimming; cycling; gentle yoga; light strength training","20-30 minutes, 3-5 days/week, as tolerated"
"Ulcerative Colitis","Walking; swimming; cycling; gentle stretching; light strength training","20-30 minutes, 3-5 days/week, as tolerated"
"Kidney Stones","Walking; light cycling; stretching; moderate activity with adequate hydration","20-30 minutes, most days"
"Chronic Kidney Disease","Walking; cycling; light strength training; stretching","20-30 minutes, 3-5 days/week, according to medical advice"
"Urinary Tract Infection","Rest during acute symptoms; gentle walking after improvement; stretching","10-20 minutes, gradually increased after symptoms improve"
"Migraine","Walking; gentle yoga; stretching; relaxation and breathing exercises","20-30 minutes, 3-5 days/week; avoid known exercise triggers"
"Epilepsy","Walking; swimming with supervision; cycling; stretching; light strength training","20-30 minutes, 3-5 days/week; use appropriate safety precautions"
"Parkinson's Disease","Walking; balance exercises; stretching; strength training; cycling","30-45 minutes, 3-5 days/week"
"Alzheimer's Disease","Walking; balance exercises; light strength training; stretching","20-30 minutes, most days"
"Multiple Sclerosis","Walking; swimming; cycling; stretching; balance exercises","20-30 minutes, 3-5 days/week, according to tolerance"
"Stroke","Walking; physiotherapy exercises; balance training; strength training; stretching","15-30 minutes, gradually increased under rehabilitation guidance"
"Osteoarthritis","Walking; swimming; cycling; strength training; range-of-motion exercises","30 minutes, most days"
"Rheumatoid Arthritis","Walking; swimming; cycling; gentle stretching; joint mobility exercises","20-30 minutes, 3-5 days/week, as tolerated"
"Osteoporosis","Walking; weight-bearing exercise; resistance training; balance exercises","30 minutes, most days"
"Gout","Walking; cycling; swimming; gentle stretching; low-impact exercise","20-30 minutes, 3-5 days/week; avoid intense activity during acute attacks"
"Fibromyalgia","Walking; swimming; gentle yoga; stretching; low-impact aerobic exercise","15-30 minutes, 3-5 days/week, gradually increased"
"Psoriasis","Walking; swimming; cycling; yoga; light strength training","30 minutes, most days"
"Eczema (Atopic Dermatitis)","Walking; cycling; gentle yoga; stretching","20-30 minutes, most days; avoid activities that severely irritate the skin"
"Acne Vulgaris","Walking; cycling; swimming; moderate aerobic exercise; strength training","30 minutes, 5 days/week"
"Cellulitis","Rest affected area during acute infection; gentle movement after improvement","Follow medical advice; gradual activity after infection improves"
"Fungal Infection","Walking; cycling; swimming when skin condition permits; stretching","20-30 minutes, most days"
"Hypothyroidism","Walking; cycling; swimming; strength training; stretching","30-45 minutes, 5 days/week"
"Hyperthyroidism","Walking; gentle cycling; stretching; light strength training","20-30 minutes, 3-5 days/week; adjust according to symptoms"
"Polycystic Ovary Syndrome (PCOS)","Brisk walking; cycling; swimming; strength training; yoga","30-45 minutes, 5 days/week"
"Endometriosis","Walking; swimming; gentle yoga; stretching; low-impact cycling","20-30 minutes, 3-5 days/week, as tolerated"
"Cervical Cancer","Walking; gentle stretching; light strengthening during treatment and recovery","10-30 minutes, gradually increased according to medical advice"
"Breast Cancer","Walking; cycling; stretching; resistance training; mobility exercises","20-30 minutes, 3-5 days/week, according to treatment tolerance"
"Prostate Cancer","Walking; cycling; strength training; stretching; pelvic-floor exercises when advised","30 minutes, 3-5 days/week"
"Colon Cancer","Walking; light cycling; stretching; strength training during recovery","15-30 minutes, gradually increased according to treatment tolerance"
"Leukemia","Gentle walking; stretching; light mobility exercises when medically cleared","5-20 minutes, according to blood counts and medical advice"
"Lymphoma","Walking; gentle cycling; stretching; light strength training when medically cleared","10-30 minutes, gradually increased"
"Major Depressive Disorder","Walking; jogging; cycling; swimming; yoga; strength training","30-45 minutes, 3-5 days/week"
"Generalized Anxiety Disorder","Walking; jogging; cycling; swimming; yoga; breathing exercises","20-40 minutes, most days"
"Bipolar Disorder","Walking; cycling; swimming; strength training; yoga","30 minutes, 3-5 days/week; maintain a regular routine"
"Schizophrenia","Walking; cycling; swimming; light strength training; stretching","20-30 minutes, 3-5 days/week"
"Obsessive Compulsive Disorder (OCD)","Walking; jogging; cycling; yoga; relaxation exercises","20-30 minutes, most days"
"Autism Spectrum Disorder","Walking; swimming; cycling; structured recreational activities; stretching","20-30 minutes, most days"
"Attention Deficit Hyperactivity Disorder (ADHD)","Running; cycling; swimming; sports; strength training","30-60 minutes, most days"
"Sleep Apnea","Walking; cycling; swimming; strength training; stretching","30-45 minutes, 5 days/week"
"Insomnia","Walking; yoga; stretching; moderate aerobic exercise","20-30 minutes, most days; avoid vigorous exercise immediately before bedtime"
"Chronic Fatigue Syndrome","Gentle stretching; slow walking; mobility exercises; activity pacing","5-15 minutes initially; increase only as tolerated"
"Acute Sinusitis","Gentle walking; stretching; breathing exercises","10-20 minutes, as tolerated; rest during severe symptoms"
"Chronic Sinusitis","Walking; cycling; stretching; gentle yoga; breathing exercises","20-30 minutes, most days"
"Otitis Media","Walking; gentle stretching; light mobility exercises","10-20 minutes, as tolerated"
"Conjunctivitis","Walking; gentle cycling; stretching","20-30 minutes, as tolerated"
"Glaucoma","Walking; moderate cycling; swimming; stretching; light strength training","30 minutes, most days; follow ophthalmologist advice"
"Cataract","Walking; cycling; swimming; light strength training; balance exercises","30 minutes, most days"
"Allergic Rhinitis","Walking; cycling; swimming; yoga; stretching","20-30 minutes, most days"
"Tonsillitis","Rest during acute illness; gentle walking after recovery; stretching","10-20 minutes after symptoms improve"
"Pharyngitis","Rest during acute illness; gentle walking after recovery; stretching","10-20 minutes after symptoms improve"
"Laryngitis","Walking; gentle stretching; light yoga","20-30 minutes, as tolerated; avoid strenuous exercise when acutely ill"
"Coronary Artery Disease (CAD)","Walking; cycling; swimming; cardiac rehabilitation; light resistance training","30 minutes, 5 days/week under medical guidance"
"Heart Failure","Walking; stationary cycling; cardiac rehabilitation; gentle strength training","10-30 minutes, gradually increased under medical supervision"
"Arrhythmia","Walking; light cycling; swimming; stretching","20-30 minutes, as medically advised; avoid activities that trigger symptoms"
"Deep Vein Thrombosis (DVT)","Gentle walking and movement after medical clearance; prescribed rehabilitation exercises","Follow medical advice; avoid strenuous exercise until cleared"
"Peripheral Artery Disease (PAD)","Supervised walking; cycling; leg strengthening; stretching","30-45 minutes, several days/week; walking intervals as tolerated"
"Hyperlipidemia","Brisk walking; jogging; cycling; swimming; aerobic exercise; strength training","30-45 minutes, 5 days/week"
"Obesity","Brisk walking; cycling; swimming; strength training; low-impact aerobic exercise","30-60 minutes, most days; gradually increase activity"
"Metabolic Syndrome","Brisk walking; cycling; swimming; strength training; aerobic exercise","30-60 minutes, most days"
"Iron Deficiency Anemia","Walking; gentle cycling; stretching; light strengthening after treatment begins","10-30 minutes, gradually increased according to symptoms and medical advice"
