Disease,HealthTip
"Diabetes Mellitus","Monitor blood glucose; take prescribed medicines; eat balanced meals; exercise regularly; maintain a healthy weight; attend regular checkups"
"Hypertension","Check blood pressure regularly; reduce salt; exercise regularly; maintain healthy weight; avoid smoking; take prescribed medicines"
"Asthma","Avoid known triggers; use inhalers correctly; keep prescribed rescue medicine available; follow your asthma action plan; seek care for worsening breathing"
"COPD","Avoid smoking and smoke exposure; use prescribed inhalers; stay physically active as tolerated; maintain vaccinations; attend regular checkups"
"Pneumonia","Get adequate rest; stay hydrated; follow prescribed treatment; monitor breathing; seek medical care if symptoms become severe"
"Tuberculosis","Complete the full treatment course; attend follow-up appointments; maintain good nutrition; follow infection-control advice; avoid stopping medicines early"
"COVID-19","Rest adequately; stay hydrated; monitor symptoms; follow current infection-control guidance; seek medical attention for breathing difficulty"
"Influenza","Rest; drink enough fluids; maintain nutritious meals; avoid close contact while sick; seek medical care if symptoms become severe"
"Dengue","Rest; maintain hydration; monitor for bleeding and severe abdominal pain; seek urgent medical care if warning signs develop"
"Malaria","Complete prescribed treatment; maintain hydration; prevent mosquito bites; rest; seek medical care if fever or weakness worsens"
"Typhoid","Complete prescribed antibiotics; drink safe water; maintain good hygiene; eat nutritious food; attend follow-up if symptoms persist"
"Cholera","Start oral rehydration promptly; use safe drinking water; maintain food hygiene; seek urgent care for severe dehydration"
"Hepatitis A","Rest; maintain hydration; avoid alcohol; eat balanced meals; follow medical advice; avoid unnecessary medicines"
"Hepatitis B","Attend regular liver checkups; avoid alcohol; take prescribed treatment; practice blood and sexual safety; maintain a healthy lifestyle"
"Fatty Liver Disease","Maintain a healthy weight; exercise regularly; follow a balanced diet; control diabetes and cholesterol; avoid excessive alcohol"
"Gastritis","Eat smaller meals; avoid foods that trigger symptoms; limit alcohol; avoid unnecessary NSAIDs; follow prescribed treatment"
"GERD","Avoid large meals; do not lie down soon after eating; identify trigger foods; maintain healthy weight; follow prescribed treatment"
"Peptic Ulcer Disease","Take prescribed treatment completely; avoid unnecessary NSAIDs; avoid smoking; limit alcohol; seek care for bleeding symptoms"
"Irritable Bowel Syndrome (IBS)","Identify food triggers; maintain regular meals; exercise regularly; manage stress; drink adequate water; follow medical advice"
"Crohn's Disease","Take prescribed medicines; maintain adequate nutrition; avoid smoking; monitor symptoms; attend gastroenterology follow-ups"
"Ulcerative Colitis","Take prescribed medicines; maintain hydration; monitor bowel symptoms; attend specialist appointments; seek care for severe bleeding"
"Kidney Stones","Drink adequate water unless medically restricted; reduce excess salt; follow dietary advice; take prescribed treatment; seek care for severe pain or fever"
"Chronic Kidney Disease","Monitor kidney function; control blood pressure and diabetes; follow your kidney-friendly diet; avoid unnecessary NSAIDs; attend regular checkups"
"Urinary Tract Infection","Drink adequate fluids; take prescribed antibiotics completely; maintain hygiene; do not delay urination; seek care if fever or back pain develops"
"Migraine","Maintain regular sleep; stay hydrated; eat regular meals; identify triggers; manage stress; take prescribed treatment appropriately"
"Epilepsy","Take antiseizure medicines as prescribed; maintain regular sleep; avoid known triggers; follow seizure-safety precautions; attend neurological follow-ups"
"Parkinson's Disease","Take medicines as prescribed; exercise safely; prevent falls; maintain balanced nutrition; attend neurological and rehabilitation appointments"
"Alzheimer's Disease","Maintain a safe environment; follow regular routines; encourage appropriate physical and mental activities; manage medicines carefully; attend medical follow-ups"
"Multiple Sclerosis","Follow prescribed treatment; exercise appropriately; manage fatigue; avoid overheating if it worsens symptoms; attend specialist appointments"
"Stroke","Treat stroke symptoms as an emergency; control blood pressure and diabetes; stop smoking; take prescribed medicines; follow rehabilitation plans"
"Osteoarthritis","Maintain healthy weight; exercise regularly; protect joints; follow pain-management advice; attend physiotherapy when recommended"
"Rheumatoid Arthritis","Take prescribed medicines; perform appropriate exercise; protect joints; stop smoking; attend rheumatology appointments"
"Osteoporosis","Ensure adequate calcium and vitamin D; exercise safely; prevent falls; avoid smoking; limit excessive alcohol"
"Gout","Stay hydrated; maintain healthy weight; take prescribed treatment; limit alcohol; follow dietary advice; avoid known triggers"
