Disease,Medicine,Type
"Diabetes Mellitus","Metformin; insulin; other glucose-lowering medicines as prescribed","Prescription"
"Hypertension","ACE inhibitors; ARBs; calcium-channel blockers; thiazide-type diuretics","Prescription"
"Asthma","Inhaled corticosteroids; bronchodilators; combination inhalers","Prescription"
"COPD","Bronchodilators; inhaled corticosteroids when indicated; other prescribed inhalers","Prescription"
"Pneumonia","Antibiotics for bacterial pneumonia when indicated; supportive treatment","Prescription"
"Tuberculosis","Combination anti-tuberculosis medicines prescribed according to the treatment regimen","Prescription"
"COVID-19","Supportive treatment; antiviral treatment for eligible patients when prescribed","Prescription"
"Influenza","Antiviral medicines for eligible patients; supportive treatment","Prescription"
"Dengue","Oral rehydration and supportive treatment; hospital treatment for severe cases","Supportive"
"Malaria","Antimalarial medicines selected according to parasite species, resistance pattern, and medical evaluation","Prescription"
"Typhoid","Appropriate antibiotics when bacterial infection is confirmed or strongly suspected; supportive treatment","Prescription"
"Cholera","Oral rehydration solution; intravenous fluids for severe dehydration; antibiotics in selected cases","Prescription/Supportive"
"Hepatitis A","Supportive treatment; hydration and symptom management","Supportive"
"Hepatitis B","Antiviral therapy for patients who meet treatment criteria; specialist monitoring","Prescription"
"Fatty Liver Disease","Lifestyle management; medicines for associated metabolic conditions when prescribed","Prescription/Lifestyle"
"Gastritis","Acid-reducing medicines; treatment for H. pylori when confirmed","Prescription/OTC"
"GERD","Proton-pump inhibitors; H2-receptor blockers; other acid-reducing treatment","Prescription/OTC"
"Peptic Ulcer Disease","Acid suppression; H. pylori eradication therapy when indicated","Prescription"
"Irritable Bowel Syndrome (IBS)","Symptom-specific medicines for diarrhea, constipation, abdominal pain, or bloating","Prescription/OTC"
"Crohn's Disease","Aminosalicylates in selected cases; corticosteroids; immunomodulators; biologic therapies","Prescription"
"Ulcerative Colitis","Aminosalicylates; corticosteroids; immunomodulators; biologic therapies","Prescription"
"Kidney Stones","Pain-relief medicines; medical expulsive therapy in selected cases; treatment based on stone type","Prescription/OTC"
"Chronic Kidney Disease","Medicines to control blood pressure; kidney-protective medicines; treatment of anemia and other complications","Prescription"
"Urinary Tract Infection","Appropriate antibiotics when bacterial infection is diagnosed; symptom relief when appropriate","Prescription"
"Migraine","Migraine-specific medicines; pain relievers; preventive medicines when indicated","Prescription/OTC"
"Epilepsy","Antiseizure medicines selected according to seizure type and individual clinical needs","Prescription"
"Parkinson's Disease","Levodopa combinations; dopamine agonists; MAO-B inhibitors; other prescribed therapies","Prescription"
"Alzheimer's Disease","Cholinesterase inhibitors; memantine; other disease-specific treatments when appropriate","Prescription"
"Multiple Sclerosis","Disease-modifying therapies; corticosteroids for selected relapses; symptom-specific treatment","Prescription"
"Stroke","Emergency stroke treatment depends on type; antiplatelet or anticoagulant treatment and risk-factor medicines when indicated","Prescription/Emergency"
"Osteoarthritis","Topical or oral pain-relief medicines; other symptom-management treatments","Prescription/OTC"
"Rheumatoid Arthritis","DMARDs; biologic medicines; corticosteroids or other anti-inflammatory treatment when prescribed","Prescription"
"Osteoporosis","Bisphosphonates; denosumab; anabolic bone medicines; calcium/vitamin D when indicated","Prescription"
"Gout","NSAIDs or other acute treatments; urate-lowering medicines such as allopurinol when indicated","Prescription"
"Fibromyalgia","Selected pain-modulating medicines; physical and behavioral treatment","Prescription"
"Psoriasis","Topical corticosteroids; vitamin-D analogues; phototherapy; systemic or biologic medicines for appropriate cases","Prescription"
"Eczema (Atopic Dermatitis)","Moisturizers; topical corticosteroids; topical calcineurin inhibitors; other prescribed therapies","Prescription/OTC"
"Acne Vulgaris","Topical retinoids; benzoyl peroxide; topical antibiotics; oral treatments for selected cases","Prescription/OTC"
"Cellulitis","Appropriate antibiotics based on infection severity and clinical assessment","Prescription"
"Fungal Infection","Topical or oral antifungal medicines depending on infection site and severity","Prescription/OTC"
"Hypothyroidism","Levothyroxine","Prescription"
"Hyperthyroidism","Antithyroid medicines; beta-blockers for symptom control; definitive treatment when indicated","Prescription"
"Polycystic Ovary Syndrome (PCOS)","Hormonal treatment; metformin in selected patients; symptom-specific treatment","Prescription"
"Endometriosis","NSAIDs for pain; hormonal therapies; other specialist treatments","Prescription/OTC"
"Cervical Cancer","Surgery; radiotherapy; chemotherapy; targeted or immunotherapy according to cancer stage","Prescription/Specialist"
