Disease,Specialist
"Diabetes Mellitus","Endocrinologist"
"Hypertension","Cardiologist"
"Asthma","Pulmonologist"
"COPD","Pulmonologist"
"Pneumonia","Pulmonologist"
"Tuberculosis","Pulmonologist"
"COVID-19","General Physician / Infectious Disease Specialist"
"Influenza","General Physician / Infectious Disease Specialist"
"Dengue","General Physician / Infectious Disease Specialist"
"Malaria","General Physician / Infectious Disease Specialist"
"Typhoid","General Physician / Infectious Disease Specialist"
"Cholera","Gastroenterologist / Infectious Disease Specialist"
"Hepatitis A","Gastroenterologist / Hepatologist"
"Hepatitis B","Gastroenterologist / Hepatologist"
"Fatty Liver Disease","Gastroenterologist / Hepatologist"
"Gastritis","Gastroenterologist"
"GERD","Gastroenterologist"
"Peptic Ulcer Disease","Gastroenterologist"
"Irritable Bowel Syndrome (IBS)","Gastroenterologist"
"Crohn's Disease","Gastroenterologist"
"Ulcerative Colitis","Gastroenterologist"
"Kidney Stones","Urologist"
"Chronic Kidney Disease","Nephrologist"
"Urinary Tract Infection","Urologist / General Physician"
"Migraine","Neurologist"
"Epilepsy","Neurologist"
"Parkinson's Disease","Neurologist"
"Alzheimer's Disease","Neurologist"
"Multiple Sclerosis","Neurologist"
"Stroke","Neurologist / Emergency Medicine Specialist"
"Osteoarthritis","Orthopedic Specialist"
"Rheumatoid Arthritis","Rheumatologist"
"Osteoporosis","Endocrinologist / Orthopedic Specialist"
"Gout","Rheumatologist"
"Fibromyalgia","Rheumatologist / Pain Specialist"
"Psoriasis","Dermatologist"
"Eczema (Atopic Dermatitis)","Dermatologist"
"Acne Vulgaris","Dermatologist"
"Cellulitis","Dermatologist / General Physician"
"Fungal Infection","Dermatologist"
"Hypothyroidism","Endocrinologist"
"Hyperthyroidism","Endocrinologist"
"Polycystic Ovary Syndrome (PCOS)","Gynecologist / Endocrinologist"
"Endometriosis","Gynecologist"
"Cervical Cancer","Gynecologic Oncologist"
"Breast Cancer","Oncologist / Breast Surgeon"
"Prostate Cancer","Urologist / Oncologist"
"Colon Cancer","Gastroenterologist / Oncologist"
"Leukemia","Hematologist / Oncologist"
"Lymphoma","Hematologist / Oncologist"
"Major Depressive Disorder","Psychiatrist / Clinical Psychologist"
"Generalized Anxiety Disorder","Psychiatrist / Clinical Psychologist"
"Bipolar Disorder","Psychiatrist"
"Schizophrenia","Psychiatrist"
"Obsessive Compulsive Disorder (OCD)","Psychiatrist / Clinical Psychologist"
"Autism Spectrum Disorder","Developmental Pediatrician / Child Psychiatrist"
"Attention Deficit Hyperactivity Disorder (ADHD)","Psychiatrist / Developmental Pediatrician"
"Sleep Apnea","Sleep Medicine Specialist / Pulmonologist"
"Insomnia","Sleep Medicine Specialist / Psychiatrist"
"Chronic Fatigue Syndrome","Internal Medicine Specialist"
"Acute Sinusitis","ENT Specialist"
"Chronic Sinusitis","ENT Specialist"
"Otitis Media","ENT Specialist"
"Conjunctivitis","Ophthalmologist"
"Glaucoma","Ophthalmologist"
"Cataract","Ophthalmologist"
"Allergic Rhinitis","ENT Specialist / Allergist"
"Tonsillitis","ENT Specialist"
"Pharyngitis","ENT Specialist / General Physician"
"Laryngitis","ENT Specialist"
"Coronary Artery Disease (CAD)","Cardiologist"
"Heart Failure","Cardiologist"
"Arrhythmia","Cardiologist / Electrophysiologist"
"Deep Vein Thrombosis (DVT)","Vascular Specialist / Hematologist"
"Peripheral Artery Disease (PAD)","Vascular Specialist / Cardiologist"
"Hyperlipidemia","Endocrinologist / Cardiologist"
"Obesity","Endocrinologist / Obesity Medicine Specialist"
"Metabolic Syndrome","Endocrinologist"
"Iron Deficiency Anemia","Hematologist"
"Vitamin B12 Deficiency Anemia","Hematologist"
"Sickle Cell Disease","Hematologist"
"Thalassemia","Hematologist"
"Hemophilia","Hematologist"
"Hypoglycemia","Endocrinologist / Emergency Medicine Specialist"
"Hyperglycemic Crisis (DKA/HHS)","Endocrinologist / Emergency Medicine Specialist"
"Acute Pancreatitis","Gastroenterologist"
"Chronic Pancreatitis","Gastroenterologist"
"Appendicitis","General Surgeon / Emergency Medicine Specialist"
"Gallstones (Cholelithiasis)","Gastroenterologist / General Surgeon"
"Acute Cholecystitis","General Surgeon / Gastroenterologist"
"Chronic Liver Disease (Cirrhosis)","Hepatologist / Gastroenterologist"
"Alcoholic Liver Disease","Hepatologist / Gastroenterologist"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Hepatologist / Gastroenterologist"
"Liver Cancer (Hepatocellular Carcinoma)","Hepatologist / Oncologist"
"Portal Hypertension","Hepatologist / Gastroenterologist"
"HIV/AIDS","Infectious Disease Specialist"
"Sepsis","Critical Care Specialist / Infectious Disease Specialist"
"Systemic Lupus Erythematosus (SLE)","Rheumatologist"
"Rheumatic Fever","Cardiologist / Infectious Disease Specialist"
"Long COVID","General Physician / Internal Medicine Specialist"
