Disease,Diagnosis
"Diabetes Mellitus","Blood glucose testing; Fasting plasma glucose; HbA1c test; Oral glucose tolerance test when required; Medical evaluation"
"Hypertension","Repeated blood pressure measurements; Home or ambulatory blood pressure monitoring when required; Medical history; Physical examination; Tests for possible underlying causes"
"Asthma","Medical history; Lung function testing; Spirometry; Bronchodilator response testing; Peak flow monitoring; Allergy testing when indicated"
"COPD","Medical history; Smoking and exposure history; Physical examination; Spirometry; Chest imaging when required; Oxygen assessment"
"Pneumonia","Medical history; Physical examination; Chest X-ray; Blood tests when indicated; Sputum testing in selected cases; Oxygen saturation measurement"
"Tuberculosis","Medical history; Tuberculin skin test or IGRA; Chest X-ray; Sputum testing; Molecular testing; Culture when required"
"COVID-19","Medical history; COVID-19 antigen or molecular test; Physical examination; Oxygen saturation assessment; Chest imaging when clinically indicated"
"Influenza","Clinical evaluation; Rapid influenza diagnostic testing when indicated; Molecular testing; Physical examination; Assessment of complications"
"Dengue","Clinical evaluation; Complete blood count; NS1 antigen or molecular testing during early illness; IgM/IgG testing when appropriate; Liver-function assessment when indicated"
"Malaria","Blood smear microscopy; Rapid diagnostic malaria test; Complete blood count; Additional testing based on severity"
"Typhoid","Blood culture; Clinical evaluation; Complete blood count; Stool or urine culture in selected cases; Additional testing when required"
"Cholera","Stool testing; Clinical evaluation; Assessment of dehydration; Electrolyte testing in moderate or severe cases; Kidney-function assessment when indicated"
"Hepatitis A","Liver function tests; Anti-HAV IgM antibody testing; Medical history; Physical examination"
"Hepatitis B","HBsAg testing; Anti-HBc testing; Anti-HBs testing; HBV DNA testing when indicated; Liver function tests; Liver imaging when required"
"Fatty Liver Disease","Medical history; Liver function tests; Abdominal ultrasound; Assessment of metabolic risk factors; Fibrosis assessment when indicated"
"Gastritis","Medical history; H. pylori testing; Upper gastrointestinal endoscopy when indicated; Blood tests; Stool testing when required"
"GERD","Clinical history; Symptom assessment; Trial of acid-suppressing treatment when appropriate; Upper endoscopy for selected patients; pH monitoring when diagnosis is uncertain"
"Peptic Ulcer Disease","Upper gastrointestinal endoscopy; H. pylori testing; Blood tests; Stool testing for bleeding; Medical history"
"Irritable Bowel Syndrome (IBS)","Symptom-based clinical evaluation; Medical history; Physical examination; Limited blood or stool tests to exclude other diseases; Colonoscopy when indicated"
"Crohn's Disease","Blood tests; Stool tests; Colonoscopy with biopsy; CT or MRI enterography; Capsule endoscopy in selected cases"
"Ulcerative Colitis","Blood tests; Stool tests; Colonoscopy with biopsy; Flexible sigmoidoscopy; Imaging when complications are suspected"
"Kidney Stones","Medical history; Urinalysis; Blood tests; Ultrasound; CT scan when required; Stone analysis"
"Chronic Kidney Disease","Serum creatinine; Estimated GFR; Urine albumin testing; Urinalysis; Kidney ultrasound; Blood pressure assessment"
"Urinary Tract Infection","Urinalysis; Urine culture; Medical history; Physical examination; Kidney imaging for recurrent or complicated infections"
"Migraine","Clinical history; Neurological examination; Headache pattern assessment; Brain imaging only when red-flag features are present"
"Epilepsy","Detailed seizure history; Neurological examination; EEG; Brain MRI or CT when indicated; Blood tests to identify possible causes"
"Parkinson's Disease","Neurological examination; Medical history; Movement assessment; Response to Parkinson's medicines may support diagnosis; Brain imaging when required to exclude other conditions"
"Alzheimer's Disease","Medical history; Cognitive assessment; Neurological examination; Blood tests; Brain imaging; Additional biomarker testing when indicated"
"Multiple Sclerosis","Neurological examination; MRI of brain and spinal cord; Cerebrospinal fluid analysis; Blood tests to exclude other conditions"
"Stroke","Emergency neurological assessment; CT or MRI brain; CT or MR angiography when indicated; Blood tests; ECG and cardiac evaluation"
"Osteoarthritis","Medical history; Joint examination; X-ray; Other imaging when required; Blood tests mainly to exclude other joint diseases"
"Rheumatoid Arthritis","Physical examination; Rheumatoid factor; Anti-CCP antibodies; ESR and CRP; X-ray or ultrasound; MRI when indicated"
"Osteoporosis","Bone mineral density test using DXA; Fracture risk assessment; Blood tests for secondary causes; Vertebral imaging when indicated"
"Gout","Joint fluid analysis for urate crystals; Serum uric acid; Physical examination; Imaging such as ultrasound or X-ray when required"
"Fibromyalgia","Clinical history; Widespread pain assessment; Physical examination; Blood tests to exclude other conditions; Diagnosis based on clinical criteria"
"Psoriasis","Skin examination; Medical history; Clinical assessment; Skin biopsy only when diagnosis is uncertain; Joint evaluation when psoriatic arthritis is suspected"
"Eczema (Atopic Dermatitis)","Clinical skin examination; Medical history; Assessment of symptoms and triggers; Allergy testing when indicated; Skin biopsy rarely required"
"Acne Vulgaris","Clinical skin examination; Medical history; Assessment of lesion type and severity; Hormonal testing when signs suggest an endocrine cause"
"Cellulitis","Clinical examination; Assessment of affected skin; Blood tests for severe infection; Wound or blood cultures in selected severe cases"
"Fungal Infection","Clinical examination; Skin scraping with microscopy; Fungal culture when required; Nail or scalp testing for selected infections"
"Hypothyroidism","TSH blood test; Free T4; Thyroid antibody testing when autoimmune disease is suspected; Medical history and examination"
"Hyperthyroidism","TSH; Free T4 and T3; Thyroid antibody testing; Thyroid ultrasound or radioactive iodine uptake testing when indicated"
"Polycystic Ovary Syndrome (PCOS)","Medical history; Menstrual history; Physical examination; Hormone testing; Assessment of androgen excess; Pelvic ultrasound when indicated; Metabolic testing"
"Endometriosis","Medical history; Pelvic examination; Ultrasound; MRI when required; Laparoscopy may confirm diagnosis in selected cases"
"Cervical Cancer","Cervical screening; HPV testing; Colposcopy; Cervical biopsy; Imaging for staging after diagnosis"
"Breast Cancer","Breast examination; Mammography; Breast ultrasound; Breast MRI when indicated; Core needle biopsy; Pathology testing"
"Prostate Cancer","PSA blood test; Digital rectal examination; Prostate MRI when indicated; Prostate biopsy for confirmation"
"Colon Cancer","Colonoscopy; Biopsy; Stool-based screening tests; CT imaging for staging; Blood tests including selected tumor markers"
"Leukemia","Complete blood count; Peripheral blood smear; Bone marrow examination; Flow cytometry; Cytogenetic and molecular testing"
"Lymphoma","Physical examination; Blood tests; Lymph-node biopsy; Imaging such as CT or PET-CT; Bone marrow testing in selected cases"
"Major Depressive Disorder","Clinical interview; Mental health assessment; Depression screening questionnaires; Medical history; Physical and laboratory evaluation to exclude contributing medical conditions"
"Generalized Anxiety Disorder","Clinical interview; Anxiety assessment; Mental health screening; Medical history; Physical and laboratory evaluation when required"
"Bipolar Disorder","Psychiatric evaluation; Detailed mood history; Assessment of manic and depressive episodes; Family history; Medical evaluation to exclude other causes"
"Schizophrenia","Psychiatric assessment; Clinical history; Mental-status examination; Medical evaluation; Laboratory tests and imaging when needed to exclude other causes"
"Obsessive Compulsive Disorder (OCD)","Psychiatric assessment; Clinical interview; OCD symptom assessment; Mental health questionnaires; Medical evaluation when required"
"Autism Spectrum Disorder","Developmental history; Behavioral assessment; Communication and social-interaction assessment; Standardized developmental tools; Multidisciplinary evaluation"
"Attention Deficit Hyperactivity Disorder (ADHD)","Clinical interview; Behavioral assessment; School or workplace information; Standardized ADHD questionnaires; Developmental and medical history"
"Sleep Apnea","Sleep history; Physical examination; Polysomnography; Home sleep apnea testing when appropriate; Oxygen monitoring"
"Insomnia","Sleep history; Sleep diary; Clinical interview; Assessment of sleep habits; Evaluation for medical or mental health causes"
"Chronic Fatigue Syndrome","Clinical history; Physical examination; Blood tests to exclude other causes; Assessment of sleep, cognition and activity limitations; Diagnosis based on clinical criteria"
"Acute Sinusitis","Clinical history; Nasal and sinus examination; Symptom assessment; Imaging only for complicated or persistent cases"
"Chronic Sinusitis","Nasal examination; Nasal endoscopy; CT scan of the sinuses; Allergy testing when indicated; Assessment for nasal polyps"
"Otitis Media","Ear examination with otoscope; Tympanometry; Hearing test when required; Assessment of symptoms and complications"
"Conjunctivitis","Eye examination; Clinical history; Assessment of discharge and eye appearance; Swab testing for selected severe or unusual infections"
"Glaucoma","Comprehensive eye examination; Intraocular pressure measurement; Optic nerve examination; Visual field testing; Optical coherence tomography"
"Cataract","Eye examination; Visual acuity testing; Slit-lamp examination; Dilated eye examination; Assessment of visual impairment"
"Allergic Rhinitis","Clinical history; Nasal examination; Allergy skin-prick testing; Specific IgE blood testing when indicated"
"Tonsillitis","Throat examination; Rapid streptococcal antigen test; Throat culture; Medical history"
"Pharyngitis","Throat examination; Rapid streptococcal test; Throat culture; Medical history; Additional testing when required"
"Laryngitis","Clinical history; Throat and voice examination; Laryngoscopy for persistent symptoms; Assessment for reflux or other causes"
"Coronary Artery Disease (CAD)","Medical history; Physical examination; ECG; Blood tests including cholesterol; Stress testing; Echocardiography; Coronary CT angiography or catheterization when indicated"
"Heart Failure","Medical history; Physical examination; ECG; Echocardiogram; BNP or NT-proBNP; Chest X-ray; Blood tests"
"Arrhythmia","ECG; Holter monitoring; Event recorder; Echocardiogram; Blood tests; Electrophysiological testing in selected cases"
"Deep Vein Thrombosis (DVT)","Clinical assessment; D-dimer testing; Compression ultrasound; CT or MR venography in selected cases"
"Peripheral Artery Disease (PAD)","Ankle-brachial index; Physical examination; Doppler ultrasound; CT or MR angiography when required"
"Hyperlipidemia","Lipid profile; Total cholesterol; LDL cholesterol; HDL cholesterol; Triglycerides; Medical and family history"
"Obesity","Body mass index; Waist circumference; Medical history; Physical examination; Assessment of metabolic risk factors"
"Metabolic Syndrome","Waist circumference; Blood pressure; Fasting glucose; HDL cholesterol; Triglycerides; Clinical assessment of metabolic risk factors"
"Iron Deficiency Anemia","Complete blood count; Ferritin; Serum iron; Total iron-binding capacity; Peripheral blood smear; Evaluation for blood loss"
"Vitamin B12 Deficiency Anemia","Complete blood count; Serum vitamin B12; Methylmalonic acid; Homocysteine; Blood smear; Evaluation for malabsorption"
"Sickle Cell Disease","Hemoglobin electrophoresis; Genetic testing; Blood tests; Newborn screening; Peripheral blood smear"
"Thalassemia","Complete blood count; Peripheral blood smear; Hemoglobin electrophoresis; Genetic testing; Iron studies to distinguish from iron deficiency"
"Hemophilia","Coagulation studies; PT and aPTT; Factor VIII or IX assay; Mixing studies; Genetic testing when indicated"
"Hypoglycemia","Blood glucose measurement during symptoms; Medical history; Medication review; Hormonal and metabolic tests when recurrent or unexplained"
"Hyperglycemic Crisis (DKA/HHS)","Blood glucose; Blood or urine ketones; Electrolytes; Blood gas testing; Serum osmolality; Kidney function; Medical evaluation for triggering illness"
"Acute Pancreatitis","Serum lipase; Serum amylase when appropriate; Liver tests; Abdominal ultrasound; CT scan when indicated; Assessment of complications"
"Chronic Pancreatitis","CT or MRI; MRCP; Endoscopic ultrasound; Pancreatic function tests; Nutritional assessment"
"Appendicitis","Clinical abdominal examination; Complete blood count; CRP; Ultrasound; CT abdomen when required; Pregnancy testing when appropriate"
"Gallstones (Cholelithiasis)","Abdominal ultrasound; Liver function tests; Blood tests; MRCP or other imaging when bile duct stones are suspected"
"Acute Cholecystitis","Abdominal ultrasound; Blood tests; Liver function tests; CT or HIDA scan when diagnosis is uncertain"
"Chronic Liver Disease (Cirrhosis)","Liver function tests; Complete blood count; Viral hepatitis testing; Ultrasound; Elastography; CT or MRI; Liver biopsy in selected cases"
"Alcoholic Liver Disease","Liver function tests; Complete blood count; Ultrasound; Fibrosis assessment; Alcohol-use history; Additional imaging or biopsy when required"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Liver function tests; Abdominal ultrasound; Fibrosis scoring; Elastography; Metabolic testing; Liver biopsy in selected uncertain or advanced cases"
"Liver Cancer (Hepatocellular Carcinoma)","Liver ultrasound; Alpha-fetoprotein when appropriate; Multiphasic CT or MRI; Liver biopsy in selected cases; Staging investigations"
"Portal Hypertension","Liver function tests; Ultrasound with Doppler; Endoscopy for varices; CT or MRI; Assessment of liver disease severity"
"HIV/AIDS","HIV antigen/antibody test; Confirmatory HIV testing; HIV viral load; CD4 cell count; Tests for opportunistic infections when indicated"
"Sepsis","Clinical assessment; Blood cultures; Complete blood count; Lactate; Kidney and liver function tests; Urinalysis; Imaging to identify infection source"
"Systemic Lupus Erythematosus (SLE)","ANA test; Anti-dsDNA; Anti-Smith antibodies; Complement levels; Complete blood count; Urinalysis; Kidney-function tests; Clinical evaluation"
"Rheumatic Fever","Clinical evaluation using established criteria; Evidence of recent streptococcal infection; Throat testing; ASO or anti-DNase B antibodies; ECG and echocardiography"
"Long COVID","Clinical history of previous COVID-19; Symptom assessment; Physical examination; Targeted blood tests; Imaging or specialist investigations based on symptoms"
