Disease,Recommended,Avoid
"Diabetes Mellitus","Non-starchy vegetables; whole grains; legumes; lean protein; nuts; controlled portions of fruit; water","Sugary drinks; sweets; refined carbohydrates; excessive fried foods; highly processed foods"
"Hypertension","Vegetables; fruits; whole grains; legumes; low-fat dairy; nuts; seeds; potassium-rich foods when medically appropriate","Excess salt; pickles; processed meats; packaged snacks; high-sodium foods; excessive alcohol"
"Asthma","Fruits; vegetables; whole grains; fish; nuts; adequate water; balanced meals","Smoking exposure; excessive processed foods; foods that individually trigger symptoms"
"COPD","Protein-rich foods; fruits; vegetables; whole grains; adequate fluids; small frequent meals if needed","Smoking; excessive alcohol; very large meals; highly processed foods"
"Pneumonia","Soups; fruits; vegetables; whole grains; lean protein; adequate fluids; nutritious small meals","Alcohol; smoking; highly processed foods; inadequate fluid intake"
"Tuberculosis","Eggs; milk or yogurt; lean meat; fish; legumes; nuts; fruits; vegetables; whole grains","Alcohol; smoking; highly processed foods; inadequate nutrition"
"COVID-19","Fruits; vegetables; whole grains; lean protein; soups; adequate fluids","Excessive alcohol; sugary drinks; highly processed foods"
"Influenza","Soups; fruits; vegetables; easily digestible foods; lean protein; adequate fluids","Alcohol; excessive greasy foods; inadequate fluids"
"Dengue","Oral rehydration solution when advised; water; soups; fruits; vegetables; easily digestible nutritious foods; adequate protein","Alcohol; dehydration; excessive sugary drinks; unnecessary supplements or medicines"
"Malaria","Water; soups; fruits; vegetables; whole grains; lean protein; adequate calories","Alcohol; excessive processed foods; inadequate fluid intake"
"Typhoid","Rice; bananas; cooked vegetables; soups; yogurt if tolerated; lean protein; adequate fluids","Very spicy foods; greasy foods; alcohol; unsafe food or water"
"Cholera","Oral rehydration solution; safe water; soups; easily digestible foods; nutritious meals","Unsafe water; contaminated food; alcohol; dehydration"
"Hepatitis A","Fruits; vegetables; whole grains; lean protein; adequate fluids","Alcohol; unnecessary supplements; very fatty foods if they worsen symptoms"
"Hepatitis B","Vegetables; fruits; whole grains; legumes; lean protein; healthy fats; adequate water","Alcohol; excessive saturated fat; highly processed foods"
"Fatty Liver Disease","Vegetables; fruits; whole grains; legumes; fish; lean protein; nuts; healthy fats","Alcohol; sugary drinks; refined carbohydrates; excessive fried foods"
"Gastritis","Oatmeal; rice; bananas; cooked vegetables; lean protein; small frequent meals","Alcohol; smoking; excessive spicy foods; very fatty foods; unnecessary NSAID use"
"GERD","Vegetables; whole grains; lean protein; non-acidic fruits; smaller meals","Large meals; late-night meals; fried foods; excessive fatty foods; alcohol; caffeine if it triggers symptoms"
"Peptic Ulcer Disease","Vegetables; fruits as tolerated; whole grains; lean protein; balanced meals","Alcohol; smoking; unnecessary NSAIDs; foods that clearly worsen symptoms"
"Irritable Bowel Syndrome (IBS)","Oats; rice; bananas; tolerated vegetables; lean protein; soluble fiber; adequate water","Personal trigger foods; excessive fatty foods; excessive caffeine; foods that worsen individual symptoms"
"Crohn's Disease","Adequate protein; tolerated fruits and vegetables; whole grains when tolerated; nutrient-dense foods; adequate fluids","Smoking; alcohol; foods that worsen individual symptoms; highly processed foods"
"Ulcerative Colitis","Lean protein; rice; bananas; cooked vegetables during flares; adequate fluids; nutrient-dense foods","Alcohol; very spicy foods; greasy foods; individual trigger foods"
"Kidney Stones","Water; fruits; vegetables; normal dietary calcium unless otherwise advised; balanced meals","Excess salt; excessive animal protein; high-risk foods depending on stone type; sugary drinks"
"Chronic Kidney Disease","Individualized kidney-friendly foods; appropriate protein; controlled sodium; suitable fruits and vegetables according to potassium level; adequate calories","Excess sodium; excessive protein when restricted; foods high in potassium or phosphorus when medically restricted"
"Urinary Tract Infection","Water; fruits; vegetables; balanced meals; adequate fluids","Excessive alcohol; excessive caffeine if it worsens urinary symptoms; dehydration"
"Migraine","Regular meals; water; whole grains; fruits; vegetables; lean protein; nuts","Individual migraine triggers; skipped meals; excessive caffeine; alcohol if it triggers attacks"
"Epilepsy","Balanced diet; vegetables; fruits; whole grains; lean protein; regular meals","Excessive alcohol; missed meals; ketogenic diet without specialist supervision"
"Parkinson's Disease","Vegetables; fruits; whole grains; legumes; fish; fiber; adequate water; balanced protein","Excessive processed foods; excessive saturated fat; inadequate fluids"
"Alzheimer's Disease","Vegetables; fruits; whole grains; fish; legumes; nuts; healthy fats; adequate water","Excessive saturated fat; highly processed foods; excessive alcohol"
"Multiple Sclerosis","Vegetables; fruits; whole grains; fish; legumes; nuts; healthy fats; calcium-rich foods","Smoking; excessive alcohol; highly processed foods"
"Stroke","Vegetables; fruits; whole grains; legumes; fish; nuts; low-sodium foods; lean protein","Excess salt; processed meats; trans fats; excessive saturated fat; excessive alcohol"
"Osteoarthritis","Vegetables; fruits; whole grains; fish; nuts; legumes; lean protein; adequate water","Excessive processed foods; excessive sugary foods; excessive alcohol"
"Rheumatoid Arthritis","Fatty fish; vegetables; fruits; whole grains; legumes; nuts; olive oil","Highly processed foods; excessive saturated fat; excessive alcohol"
"Osteoporosis","Milk; yogurt; fortified alternatives; leafy vegetables; beans; fish; calcium-rich foods; vitamin-D-fortified foods","Excessive alcohol; excessive salt; inadequate calcium and vitamin D"
"Gout","Water; vegetables; whole grains; low-fat dairy; moderate lean protein","Organ meats; excessive red meat; shellfish; alcohol; sugary drinks; high-fructose foods"
"Fibromyalgia","Vegetables; fruits; whole grains; lean protein; nuts; healthy fats; adequate water","Excessive processed foods; excessive alcohol; excessive caffeine if it worsens symptoms"
"Psoriasis","Vegetables; fruits; whole grains; fatty fish; nuts; legumes; healthy fats","Excessive alcohol; highly processed foods; excessive sugary foods"
"Eczema (Atopic Dermatitis)","Vegetables; fruits; whole grains; fish; lean protein; adequate water","Known individual food triggers; highly processed foods when they worsen symptoms"
"Acne Vulgaris","Vegetables; fruits; whole grains; lean protein; low-glycemic foods; nuts","Excessive refined carbohydrates; sugary foods; highly processed foods"
"Cellulitis","Protein-rich foods; fruits; vegetables; whole grains; adequate calories; adequate fluids","Alcohol; highly processed foods; inadequate nutrition"
"Fungal Infection","Vegetables; fruits; whole grains; lean protein; balanced meals; adequate water","Excessive sugary foods; excessive alcohol; highly processed foods"
"Hypothyroidism","Vegetables; fruits; whole grains; lean protein; normal dietary iodine; balanced meals","Excessive iodine supplements; highly processed foods; crash diets"
"Hyperthyroidism","Adequate calories; protein-rich foods; dairy or fortified alternatives; fruits; vegetables; calcium-rich foods","Excessive caffeine; excessive iodine supplements; alcohol"
"Polycystic Ovary Syndrome (PCOS)","Vegetables; whole grains; legumes; lean protein; nuts; healthy fats; low-glycemic foods","Sugary drinks; refined carbohydrates; highly processed foods; excessive added sugar"
"Endometriosis","Vegetables; fruits; whole grains; legumes; fatty fish; nuts; iron-rich foods","Excessive alcohol; highly processed foods; excessive saturated fat"
"Cervical Cancer","Lean protein; vegetables; fruits; whole grains; legumes; adequate calories and fluids","Alcohol; smoking; highly processed foods"
"Breast Cancer","Vegetables; fruits; whole grains; legumes; fish; lean protein; nuts; healthy fats","Excessive alcohol; highly processed foods; excessive processed meat"
"Prostate Cancer","Vegetables; fruits; whole grains; legumes; fish; nuts; healthy fats","Excessive processed meat; excessive saturated fat; excessive alcohol"
"Colon Cancer","Vegetables; fruits; whole grains; legumes; lean protein; adequate fluids","Processed meat; excessive red meat; excessive alcohol; highly processed foods"
"Leukemia","Adequate protein; cooked vegetables and fruits when advised; whole grains; nutrient-dense foods; adequate fluids","Unpasteurized or unsafe foods when infection risk is high; raw foods when medically restricted; alcohol"
"Lymphoma","Lean protein; vegetables; fruits; whole grains; healthy fats; adequate calories and fluids","Alcohol; highly processed foods; unsafe foods during periods of weakened immunity"
"Major Depressive Disorder","Vegetables; fruits; whole grains; legumes; fish; nuts; lean protein; regular balanced meals","Excessive alcohol; highly processed foods; excessive sugary foods; skipping meals"
"Generalized Anxiety Disorder","Whole grains; vegetables; fruits; lean protein; nuts; seeds; adequate water","Excessive caffeine; energy drinks; excessive alcohol; highly processed foods"
"Bipolar Disorder","Vegetables; fruits; whole grains; lean protein; fish; nuts; regular balanced meals; adequate water","Excessive alcohol; recreational drugs; excessive caffeine; highly processed foods"
"Schizophrenia","Vegetables; fruits; whole grains; legumes; lean protein; nuts; healthy fats; adequate water","Excessive alcohol; highly processed foods; excessive sugary foods"
"Obsessive Compulsive Disorder (OCD)","Vegetables; fruits; whole grains; lean protein; nuts; seeds; adequate water; regular meals","Excessive caffeine; excessive alcohol; highly processed foods"
"Autism Spectrum Disorder","Vegetables; fruits; whole grains; eggs; fish; lean protein; legumes; adequate water","Highly restrictive diets without professional guidance; excessive sugary foods; highly processed foods"
"Attention Deficit Hyperactivity Disorder (ADHD)","Vegetables; fruits; whole grains; eggs; fish; lean protein; nuts; seeds; adequate water","Excessive sugary drinks; highly processed foods; excessive caffeine"
"Sleep Apnea","Vegetables; fruits; whole grains; legumes; lean protein; fish; healthy fats; controlled portions","Large meals before bedtime; excessive alcohol; sugary drinks; highly processed foods"
"Insomnia","Vegetables; fruits; whole grains; lean protein; balanced meals; adequate water","Caffeine late in the day; energy drinks; heavy meals before bedtime; excessive alcohol"
"Chronic Fatigue Syndrome","Adequate calories; lean protein; vegetables; fruits; whole grains; healthy fats; adequate water","Skipping meals; excessive alcohol; highly processed foods; excessive caffeine"
"Acute Sinusitis","Warm fluids; soups; fruits; vegetables; whole grains; lean protein; adequate water","Alcohol; smoking; excessive sugary drinks; highly processed foods"
"Chronic Sinusitis","Fruits; vegetables; whole grains; lean protein; fish; adequate fluids","Smoking; excessive alcohol; highly processed foods"
"Otitis Media","Fruits; vegetables; whole grains; lean protein; dairy or suitable alternatives; adequate fluids","Highly processed foods; excessive sugary foods; excessive alcohol"
"Conjunctivitis","Fruits; vegetables; whole grains; lean protein; adequate water; balanced meals","Excessive alcohol; highly processed foods; inadequate hydration"
"Glaucoma","Leafy green vegetables; colorful fruits; whole grains; fish; nuts; balanced meals; adequate hydration","Smoking; excessive alcohol; excessive highly processed foods"
"Cataract","Leafy green vegetables; colorful fruits; fish; nuts; whole grains; foods rich in vitamins and antioxidants","Smoking; excessive alcohol; highly processed foods"
"Allergic Rhinitis","Fruits; vegetables; whole grains; fish; nuts; adequate water; balanced meals","Known individual food triggers; excessive alcohol; highly processed foods"
"Tonsillitis","Warm fluids; soups; soft foods; yogurt if tolerated; fruits; lean protein; adequate water","Very spicy foods; alcohol; smoking; hard foods that irritate the throat"
"Pharyngitis","Warm fluids; soups; soft foods; yogurt if tolerated; fruits; adequate water; balanced meals","Alcohol; smoking; very spicy foods; irritating beverages"
"Laryngitis","Warm fluids; soups; fruits; vegetables; soft nutritious foods; adequate water","Alcohol; smoking; excessive caffeine; very spicy foods"
"Coronary Artery Disease (CAD)","Vegetables; fruits; whole grains; legumes; fish; nuts; olive oil; lean protein","Excess salt; processed meats; trans fats; excessive saturated fat; excessive alcohol"
"Heart Failure","Vegetables; fruits as medically appropriate; whole grains; lean protein; low-sodium foods; adequate nutrition","High-sodium foods; processed meats; packaged soups; excessive fluids if medically restricted; excessive alcohol"
"Arrhythmia","Vegetables; fruits; whole grains; lean protein; fish; nuts; adequate water","Excessive caffeine; energy drinks; excessive alcohol; stimulants that trigger symptoms"
"Deep Vein Thrombosis (DVT)","Vegetables; fruits; whole grains; lean protein; fish; nuts; adequate hydration","Dehydration; excessive alcohol; highly processed foods"
"Peripheral Artery Disease (PAD)","Vegetables; fruits; whole grains; legumes; fish; nuts; healthy oils; lean protein","Smoking; excess salt; processed meats; trans fats; excessive saturated fat"
"Hyperlipidemia","Oats; barley; vegetables; fruits; legumes; nuts; seeds; fish; healthy oils","Fried foods; processed meats; trans fats; excessive saturated fat; sugary foods"
"Obesity","Vegetables; fruits; whole grains; legumes; lean protein; controlled portions; high-fiber foods; water","Sugary drinks; fast food; fried foods; excessive refined carbohydrates; highly processed foods"
"Metabolic Syndrome","Vegetables; fruits; whole grains; legumes; lean protein; fish; nuts; healthy fats","Sugary drinks; refined carbohydrates; excess salt; processed foods; excessive saturated fat"
"Iron Deficiency Anemia","Lean meat; fish; eggs; beans; lentils; leafy vegetables; fortified cereals; vitamin-C-rich foods","Excessive tea or coffee with iron-rich meals; unnecessary iron supplements; highly processed foods"
"Vitamin B12 Deficiency Anemia","Eggs; milk; yogurt; fish; meat; fortified foods; balanced protein-rich meals","Highly restrictive diets without appropriate B12 supplementation; excessive alcohol"
"Sickle Cell Disease","Adequate water; lean protein; fruits; vegetables; whole grains; folate-rich foods; nutrient-dense meals","Dehydration; excessive alcohol; skipping meals; highly processed foods"
"Thalassemia","Balanced meals; lean protein; fruits; vegetables; whole grains; folate-rich foods; adequate calories","Iron supplements unless prescribed; excessive iron-fortified products when medically restricted; excessive alcohol"
"Hemophilia","Lean protein; vegetables; fruits; whole grains; calcium-rich foods; balanced meals; adequate water","Excessive alcohol; crash diets; highly processed foods"
"Hypoglycemia","Regular balanced meals; whole grains; vegetables; lean protein; healthy snacks; fruit; fast-acting carbohydrate when advised","Skipping meals; excessive alcohol; large amounts of sugary foods without balanced nutrition"
"Hyperglycemic Crisis (DKA/HHS)","Follow prescribed diabetes meal plan; adequate fluids as medically advised; balanced carbohydrates; lean protein; vegetables","Sugary drinks; excessive refined carbohydrates; skipping prescribed diabetes treatment; alcohol"
"Acute Pancreatitis","Low-fat foods when oral intake is resumed as medically advised; lean protein; fruits; vegetables; adequate fluids","Alcohol; high-fat meals; fried foods; excessive greasy foods"
"Chronic Pancreatitis","Small frequent meals; lean protein; nutrient-dense foods; complex carbohydrates; prescribed pancreatic enzymes with meals","Alcohol; smoking; very high-fat meals; large meals"
"Appendicitis","Follow medical instructions; maintain hydration if permitted before treatment; follow post-treatment nutrition advice","Do not use food or home remedies as a substitute for emergency medical evaluation; avoid heavy meals if instructed to remain fasting"
"Gallstones (Cholelithiasis)","Vegetables; fruits; whole grains; lean protein; low-fat dairy; small balanced meals","Fried foods; very fatty meals; processed meats; excessive saturated fat"
"Acute Cholecystitis","Small low-fat meals when medically permitted; vegetables; fruits; whole grains; lean protein; adequate fluids","Fried foods; greasy foods; high-fat meals; alcohol"
"Chronic Liver Disease (Cirrhosis)","Adequate protein; vegetables; fruits; whole grains; nutrient-dense foods; controlled sodium when advised","Alcohol; excessive sodium; raw or unsafe foods when medically restricted; unnecessary herbal supplements"
"Alcoholic Liver Disease","No alcohol; lean protein; vegetables; fruits; whole grains; nutrient-dense foods; adequate calories","Alcohol; excessive saturated fat; highly processed foods; unnecessary supplements"
